Año,Mes,Día,HR,CEL
2030,1,15,11,9107.333815
2030,1,15,12,9277.689804
2030,1,15,13,9288.665496
2030,1,15,14,9187.338791
2030,1,15,15,9211.204505
2030,1,15,16,9218.636523
2030,1,15,17,9307.49397
2030,1,15,18,9360.693847
2030,1,15,19,10017.15094
2030,1,15,20,10812.96022
2030,1,15,21,10789.91813
2030,1,15,22,10200.74758
2030,1,15,23,9293.716164
2030,1,15,24,8027.411374
2030,1,16,1,7171.271594
2030,1,16,2,6732.343886
2030,1,16,3,6413.432593
2030,1,16,4,6367.700544
2030,1,16,5,6472.927528
2030,1,16,6,6926.438762
2030,1,16,7,7938.671801
2030,1,16,8,8480.52124
2030,1,16,9,8789.295386
2030,1,16,10,9042.571862
2030,1,16,11,9256.99027
2030,1,16,12,9506.050146
2030,1,16,13,9398.286636
2030,1,16,14,9261.014392
2030,1,16,15,9278.073267
2030,1,16,16,9282.706155
2030,1,16,17,9380.430994
2030,1,16,18,9525.33221
2030,1,16,19,10236.6036
2030,1,16,20,10896.14033
2030,1,16,21,10800.75804
2030,1,16,22,10285.58986
2030,1,16,23,9313.757694
2030,1,16,24,8178.027232
2030,1,17,1,7213.925496
2030,1,17,2,6708.725856
2030,1,17,3,6422.156747
2030,1,17,4,6293.435574
2030,1,17,5,6377.663118
2030,1,17,6,6854.470093
2030,1,17,7,7749.403782
2030,1,17,8,8399.680704
2030,1,17,9,8686.578069
2030,1,17,10,8986.114788
2030,1,17,11,9223.906526
2030,1,17,12,9353.879548
2030,1,17,13,9330.315233
2030,1,17,14,9192.411841
2030,1,17,15,9075.852559
2030,1,17,16,9367.308208
2030,1,17,17,9189.550044
2030,1,17,18,9151.970683
2030,1,17,19,9823.272411
2030,1,17,20,10623.23414
2030,1,17,21,10492.48673
2030,1,17,22,9911.67776
2030,1,17,23,9120.062694
2030,1,17,24,8215.391734
2030,1,18,1,7165.516667
2030,1,18,2,6615.647333
2030,1,18,3,6354.874681
2030,1,18,4,6214.815243
2030,1,18,5,6235.185029
2030,1,18,6,6386.157492
2030,1,18,7,6774.354704
2030,1,18,8,7114.369883
2030,1,18,9,7587.770455
2030,1,18,10,8006.850603
2030,1,18,11,8305.954621
2030,1,18,12,8452.773151
2030,1,18,13,8464.927581
2030,1,18,14,8349.165067
2030,1,18,15,8129.588561
2030,1,18,16,8048.21237
2030,1,18,17,7973.81759
2030,1,18,18,8149.613678
2030,1,18,19,9020.883083
2030,1,18,20,9668.980085
2030,1,18,21,9495.404202
2030,1,18,22,9079.409662
2030,1,18,23,8480.15419
2030,1,18,24,7687.991533
2030,1,19,1,6699.430239
2030,1,19,2,6169.518878
2030,1,19,3,5833.762077
2030,1,19,4,5726.614794
2030,1,19,5,5656.185946
2030,1,19,6,5702.296982
2030,1,19,7,5854.030402
2030,1,19,8,5930.223131
2030,1,19,9,6245.863798
2030,1,19,10,6673.7621
2030,1,19,11,6972.694529
2030,1,19,12,7097.488564
2030,1,19,13,7072.272524
2030,1,19,14,7048.772368
2030,1,19,15,6976.130774
2030,1,19,16,7003.461083
2030,1,19,17,7096.272525
2030,1,19,18,7296.326742
2030,1,19,19,8253.138207
2030,1,19,20,9356.368326
2030,1,19,21,9498.41073
2030,1,19,22,9074.558931
2030,1,19,23,8127.669754
2030,1,19,24,7167.724936
2030,1,20,1,6259.422269
2030,1,20,2,5698.505624
2030,1,20,3,5490.255447
2030,1,20,4,5432.346586
2030,1,20,5,5563.274535
2030,1,20,6,6120.493823
2030,1,20,7,7347.428764
2030,1,20,8,8023.558841
2030,1,20,9,8371.887852
2030,1,20,10,8763.461627
2030,1,20,11,9030.994864
2030,1,20,12,9287.615076
