Ano,Tecnologia,Entidad Federativa,Region,Nodo,Estado,Capacidad Bruta (MW),Inversion
2018,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Permiso de generacion en tramite ante la CRE,125,5017.7725
2018,Solar fotovoltaica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),70,2809.9526
2018,Solar fotovoltaica,JAL,03-Occidental,24-Aguascalientes,Proyecto adjudicado en Subasta de LP (SLP-1-2015),100,4014.218
2018,Solar fotovoltaica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),18,722.55924
2018,Solar fotovoltaica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),30,1204.2654
2018,Solar fotovoltaica,ZAC,06-Noreste,17-Saltillo,Permiso de generacion en tramite ante la CRE,100,4014.218
2018,Solar fotovoltaica,GTO,03-Occidental,30-Queretaro,Proyecto adjudicado en Subasta de LP (SLP-1-2015),100,4014.218
2018,Solar fotovoltaica,YUC,07-Peninsular,42-Merida,Proyecto adjudicado en Subasta de LP (SLP-1-2015),500,20071.09
2018,Solar fotovoltaica,BCS,09-Baja California Sur,50-Villa Constitucion,Proyecto adjudicado en Subasta de LP (SLP-1-2015),23,1373.33
2019,Eolica,PUE,02-Oriental,32-Poza Rica,Por iniciar obras,50.4,1719.648
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Proyecto Nuevo,200,6878.592
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Proyecto con avance en el proceso de interconexion ante CENACE,110,3783.2256
2019,Eolica,SLP,03-Occidental,25-San Luis Potos,Permiso de generacion en tramite ante la CRE,200,6878.592
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Proyecto con avance en el proceso de interconexion ante CENACE,150,5158.944
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,100,3439.296
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,300,10317.888
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,200,6878.592
2019,Eolica,BCS,09-Baja California Sur,51-La Paz,Proyecto con avance en el proceso de interconexion ante CENACE,50,1719.648
2019,Eolica,OAX,02-Oriental,36-Temascal,Suspendido,202.2,6576
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Por Licitar,285.29,8290.402
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Por Licitar,300.3,8719.039
2019,Eolica,OAX,02-Oriental,36-Temascal,Por Licitar,300.3,8141.152
2019,Eolica,OAX,02-Oriental,36-Temascal,Por Licitar,300.3,8141.152
2019,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,70,2407.5072
2019,Geotermica,JAL,03-Occidental,23-Guadalajara,Por Licitar,26.62,1068.152027
2019,Hidroelectrica,CHIS,02-Oriental,39-Grijalva,Proyecto Nuevo,18.73101296,362.5886742
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,100,3439.296
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,140,4815.0144
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,60,2063.5776
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,84,2889.00864
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,60,2063.5776
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,66,2269.93536
2020,Eolica,TAMS,06-Noreste,21-Guemez,Por iniciar obras,117,3275.52
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,171,5881.19616
2020,Eolica,TAMS,06-Noreste,15-Matamoros,Por iniciar obras,168,5778.01728
2020,Eolica,TAMS,06-Noreste,21-Guemez,En construccion,73,2047.2
2020,Eolica,TAMS,06-Noreste,21-Guemez,En construccion,60,2047.2
2020,Eolica,TAMS,06-Noreste,21-Guemez,Por iniciar obras,57,1944.84
2020,Eolica,TAMS,06-Noreste,21-Guemez,Por iniciar obras,57,1944.84
2020,Eolica,TAMS,06-Noreste,21-Guemez,Por iniciar obras,145,2985.5
2020,Geotermica,MEX,01-Central,31-Central,Proyecto Nuevo,225.7,5987.94414
2020,Geotermica,PUE,02-Oriental,34-Puebla,Proyecto Nuevo,1.29999933,26.53054559
2020,Geotermica,BC,08-Baja California,48-Mexicali,Proyecto Nuevo,27,715.338
