Origen,Destino,Capacidad de transmision (MW),Costo de contruccion (miles de dolares/km),Distancia Aproximada (km),Precio (USD/MW-KM)
23-Guadalajara,28-Carapan,256.8,444.2,107,1729.750779
23-Guadalajara,29-Lazaro Cardenas,181.76,627.9,235,3454.555458
23-Guadalajara,26-Salamanca,189.69,433.4,212,2284.780431
19-Huasteca,20-Tamazunchale,208,597.8,172,2874.038462
19-Huasteca,18-Valles,259.76,693.5,104,2669.772097
19-Huasteca,16-Monterrey,210.57,252.7,167,1200.075984
19-Huasteca,32-Poza Rica,194.04,619.9,201,3194.702123
07-Juarez,08-Moctezuma,235.15,352.8,129,1500.318945
11-Laguna,10-Durango,190.88,1081.2,209,5664.291702
11-Laguna,17-Saltillo,182.31,597.8,233,3279.030223
29-Lazaro Cardenas,35-Acapulco,192.06,356.2,206,1854.628762
29-Lazaro Cardenas,28-Carapan,202.87,438.1,182,2159.511017
29-Lazaro Cardenas,26-Salamanca,166.08,600.5,298,3615.72736
29-Lazaro Cardenas,31-Central,179.54,742,243,4132.783781
04-Los Mochis,05-Culiacan,180.1,299.4,241,1662.409772
27-Manzanillo,23-Guadalajara,212.12,448.5,164,2114.369225
15-Matamoros,14-Reynosa,310.47,249.3,60,802.976133
06-Mazatlan,05-Culiacan,190.48,529.5,210,2779.819404
06-Mazatlan,10-Durango,188.51,1081.2,215,5735.504748
06-Mazatlan,22-Tepic,177.05,614.7,252,3471.900593
42-Merida,43-Cancun,213.14,352.8,162,1655.25007
42-Merida,44-Chetumal,166.81,356.2,289,2135.363587
48-Mexicali,47-Ensenada,241.98,416.9,120,1722.869659
48-Mexicali,49-San Luis Ro Colorado,324.7,688.8,48,2121.342778
08-Moctezuma,09-Chihuahua,192.06,461.8,206,2404.456941
16-Monterrey,17-Saltillo,314.03,614.7,57,1957.456294
02-Cananea,01-Hermosillo,219.69,516.2,152,2349.674541
02-Cananea,08-Moctezuma,188.11,456.3,216,2425.708362
03-Obregon,04-Los Mochis,198.75,386,190,1942.138365
32-Poza Rica,31-Central,180.65,433.4,239,2399.114309
32-Poza Rica,34-Puebla,241.98,449.5,122,1857.591536
34-Puebla,31-Central,300.98,361.3,68,1200.411988
30-Queretaro,25-San Luis Potos,234.47,440.1,130,1876.99919
30-Queretaro,31-Central,272.52,296.5,92,1087.993542
14-Reynosa,16-Monterrey,184.95,614.7,224,3323.600973
14-Reynosa,13-Nuevo Laredo,304.54,461.8,65,1516.385368
12-Ro Escondido,09-Chihuahua,152.01,352.8,354,2320.899941
12-Ro Escondido,16-Monterrey,209.55,413.5,169,1973.276068
12-Ro Escondido,13-Nuevo Laredo,208,654.9,172,3148.557692
26-Salamanca,31-Central,209.03,454.7,170,2175.285844
26-Salamanca,30-Queretaro,310.47,448.3,60,1443.939833
17-Saltillo,24-Aguascalientes,135.26,517.5,441,3825.964809
25-San Luis Potos,24-Aguascalientes,224.39,305.5,145,1361.468871
38-Tabasco,41-Lerma,164.65,621.7,298,3775.888248
20-Tamazunchale,31-Central,164.65,1081.2,289,6566.656544
20-Tamazunchale,30-Queretaro,195.62,440.1,197,2249.769962
36-Temascal,35-Acapulco,186.53,424.2,220,2274.165014
36-Temascal,34-Puebla,184.55,484.8,225,2626.930371
22-Tepic,23-Guadalajara,223.72,606.1,146,2709.190059
46-Tijuana,47-Ensenada,274.89,516.2,90,1877.842046
46-Tijuana,48-Mexicali,273.71,731.4,91,2672.171276
18-Valles,25-San Luis Potos,175.39,455.6,258,2597.639546
33-Veracruz,32-Poza Rica,233.13,296.5,132,1271.822588
33-Veracruz,34-Puebla,190.09,347.2,211,1826.503235
33-Veracruz,36-Temascal,270.15,503,94,1861.928558
35-Acapulco,34-Puebla,173.6,389.438,154,2243.306452
24-Aguascalientes,26-Salamanca,250.62,592.39779,56,2363.729112
41-Lerma,44-Chetumal,205.75,434.3255,105,2110.938032
41-Lerma,42-Merida,163.75,434.3255,176,2652.369466
28-Carapan,26-Salamanca,197.11,570.2745,116,2893.178936
09-Chihuahua,11-Laguna,132.05,764.632,292,5790.473306
37-Coatzacoalcos,36-Temascal,153.65,325.2905,203,2117.087537
10-Durango,24-Aguascalientes,175.74,410.56812,150,2336.22465
39-Grijalva,37-Coatzacoalcos,180.02,325.2905,142,1806.96867
39-Grijalva,38-Tabasco,175.74,271.906,150,1547.2061
39-Grijalva,36-Temascal,143.41,221.812,240,1546.698278
23-Guadalajara,24-Aguascalientes,161.7,502.002,181,3104.526902
23-Guadalajara,28-Carapan,204.18,488.7435,107,2393.689392
23-Guadalajara,29-Lazaro Cardenas,144.51,488.7435,235,3382.073905
23-Guadalajara,26-Salamanca,150.82,703.871,212,4666.960615
19-Huasteca,20-Tamazunchale,165.38,412.585,172,2494.769621
19-Huasteca,18-Valles,206.53,412.585,104,1997.700092
19-Huasteca,16-Monterrey,167.42,395.11785,167,2360.03972
19-Huasteca,32-Poza Rica,154.28,428.769,201,2779.161265
07-Juarez,08-Moctezuma,186.96,1053.724,129,5636.093282
11-Laguna,10-Durango,151.76,457.2815,209,3013.188587
11-Laguna,17-Saltillo,144.95,475.54,233,3280.717489
29-Lazaro Cardenas,35-Acapulco,152.71,452.6635,206,2964.203392
29-Lazaro Cardenas,28-Carapan,161.3,355.147,182,2201.779293
29-Lazaro Cardenas,26-Salamanca,132.05,570.2745,298,4318.625521
29-Lazaro Cardenas,31-Central,142.75,665.96601,243,4665.261016
04-Los Mochis,05-Culiacan,143.19,278.027,241,1941.664921
27-Manzanillo,23-Guadalajara,168.65,489.999,164,2905.419508
15-Matamoros,14-Reynosa,246.85,396.703,60,1607.060968
06-Mazatlan,05-Culiacan,151.45,278.027,210,1835.76758
06-Mazatlan,10-Durango,149.88,358.525,215,2392.080331
06-Mazatlan,22-Tepic,140.77,422.06,252,2998.224053
42-Merida,43-Cancun,169.47,319.7425,162,1886.720363
42-Merida,44-Chetumal,132.63,319.7425,289,2410.785644
48-Mexicali,47-Ensenada,192.39,587.174,120,3051.998545
48-Mexicali,49-San Luis Ro Colorado,258.16,428.0775,48,1658.186783
