ID_old,ID,LAT,LON
1367,342,26.5,-107.3333
1368,343,26.5,-106.6667
1369,344,26.5,-106
1370,345,26.5,-105.3333
1371,346,26.5,-104.6667
1372,347,26.5,-104
1373,348,26.5,-103.3333
1374,349,26.5,-102.6667
1375,350,26.5,-102
1376,351,26.5,-101.3333
1377,352,26.5,-100.6667
1378,353,26.5,-100
1379,354,26.5,-99.3333
1407,355,27,-114
1408,356,27,-113.3333
1409,357,27,-112.6667
1414,358,27,-109.3333
1415,359,27,-108.6667
1416,360,27,-108
1417,361,27,-107.3333
1418,362,27,-106.6667
1419,363,27,-106
1420,364,27,-105.3333
1421,365,27,-104.6667
1422,366,27,-104
1423,367,27,-103.3333
1424,368,27,-102.6667
1425,369,27,-102
1426,370,27,-101.3333
1427,371,27,-100.6667
1428,372,27,-100
1457,373,27.5,-114
1458,374,27.5,-113.3333
1459,375,27.5,-112.6667
1463,376,27.5,-110
1464,377,27.5,-109.3333
1465,378,27.5,-108.6667
1466,379,27.5,-108
1467,380,27.5,-107.3333
1468,381,27.5,-106.6667
1469,382,27.5,-106
1470,383,27.5,-105.3333
1471,384,27.5,-104.6667
1472,385,27.5,-104
1473,386,27.5,-103.3333
1474,387,27.5,-102.6667
1475,388,27.5,-102
1476,389,27.5,-101.3333
1477,390,27.5,-100.6667
1478,391,27.5,-100
1507,392,28,-114
1508,393,28,-113.3333
1512,394,28,-110.6667
1513,395,28,-110
1514,396,28,-109.3333
1515,397,28,-108.6667
1516,398,28,-108
1517,399,28,-107.3333
1518,400,28,-106.6667
1519,401,28,-106
1520,402,28,-105.3333
1521,403,28,-104.6667
1522,404,28,-104
1523,405,28,-103.3333
1524,406,28,-102.6667
1525,407,28,-102
1526,408,28,-101.3333
1527,409,28,-100.6667
1528,410,28,-100
1557,411,28.5,-114
1558,412,28.5,-113.3333
1561,413,28.5,-111.3333
1562,414,28.5,-110.6667
1563,415,28.5,-110
1564,416,28.5,-109.3333
1565,417,28.5,-108.6667
1566,418,28.5,-108
1567,419,28.5,-107.3333
1568,420,28.5,-106.6667
1569,421,28.5,-106
1570,422,28.5,-105.3333
1571,423,28.5,-104.6667
1572,424,28.5,-104
1573,425,28.5,-103.3333
1574,426,28.5,-102.6667
1575,427,28.5,-102
1576,428,28.5,-101.3333
1577,429,28.5,-100.6667
1607,430,29,-114
1610,431,29,-112
1611,432,29,-111.3333
1612,433,29,-110.6667
1613,434,29,-110
1614,435,29,-109.3333
1615,436,29,-108.6667
1616,437,29,-108
1617,438,29,-107.3333
1618,439,29,-106.6667
1619,440,29,-106
1620,441,29,-105.3333
1621,442,29,-104.6667
1622,443,29,-104
1623,444,29,-103.3333
1624,445,29,-102.6667
1625,446,29,-102
1626,447,29,-101.3333
1627,448,29,-100.6667
1656,449,29.5,-114.6667
1657,450,29.5,-114
1660,451,29.5,-112
1661,452,29.5,-111.3333
1662,453,29.5,-110.6667
1663,454,29.5,-110
1664,455,29.5,-109.3333
1665,456,29.5,-108.6667
1666,457,29.5,-108
1667,458,29.5,-107.3333
1668,459,29.5,-106.6667
1669,460,29.5,-106
1670,461,29.5,-105.3333
1671,462,29.5,-104.6667
1674,463,29.5,-102.6667
1675,464,29.5,-102
