central/proyect,type,technology,fuel,fuel_code,load_area,balancing_area,intalation_year
rio_bravo_iii,operational,combined_cycle,natural_gas,g_ahnrr,06-noreste,15-matamoros,
rio_bravo_iv,operational,combined_cycle,natural_gas,g_ahnrr,06-noreste,15-matamoros,
rio_escondido,operational,carboelectric,coal,ca_rioes,06-noreste,12-rio_escondido,
saltillo,operational,combined_cycle,natural_gas,g_ahnrr,06-noreste,17-saltillo,
tamazunchale,operational,combined_cycle,natural_gas,gn_tamazu,06-noreste,20-tamazunchale,
tecnologico,operational,turbogas,diesel,d_naciona,06-noreste,16-monterrey,
universidad_u1,operational,turbogas,natural_gas,g_ahnrr,06-noreste,16-monterrey,
universidad_u2,operational,turbogas,natural_gas,g_ahnrr,06-noreste,16-monterrey,
el_sauz_ii,operational,combined_cycle,natural_gas,g_sauzqro,03-occidental,30-queretaro,
la_amistad,operational,hydroelectric,,,06-noreste,12-rio_escondido,
cobano,operational,hydroelectric,,,03-occidental,29-lazaro_cardenas,
el_fuerte,operational,hydroelectric,,,04-noroeste,04-los_mochis,
colimilla,operational,hydroelectric,,,03-occidental,23-guadalajara,
tepexic,operational,hydroelectric,,,02-oriental,34-puebla,
cogcoracion_salamanca,operational,turbogas,natural_gas,g_petsal,03-occidental,26-salamanca,
patla,operational,hydroelectric,,,02-oriental,32-poza_rica,
tuxpango,operational,hydroelectric,,,02-oriental,36-temascal,
compania_de_energia_mexicana,operational,hydroelectric,,,02-oriental,32-poza_rica,
el_sauz,operational,combined_cycle,natural_gas,g_sauzqro,03-occidental,30-queretaro,
huicot,operational,internal_combustion,fuel_oil,c_i_manza,03-occidental,22-tepic,
falcon,operational,hydroelectric,,,06-noreste,13-nuevo_laredo,
electricidad_del_golfo,operational,hydroelectric,,,02-oriental,36-temascal,
mexicana_de_hidroelectricidad_mexhidro,operational,hydroelectric,,,02-oriental,35-acapulco,
chilapan,operational,hydroelectric,,,02-oriental,37-coatzacoalcos,
los_azufres,operational,geotermic,,,03-occidental,28-carapan,
los_azufres_u2,operational,geotermic,,,03-occidental,28-carapan,
los_azufres_u6,operational,geotermic,,,03-occidental,28-carapan,
los_azufres_u8,operational,geotermic,,,03-occidental,28-carapan,
manzanillo_central,operational,termoelectric,fuel_oil,c_i_manza,03-occidental,27-manzanillo,
manzanillo_u3_tc,operational,termoelectric,fuel_oil,c_i_manza,03-occidental,27-manzanillo,
manzanillo_u4_tc,operational,termoelectric,fuel_oil,c_i_manza,03-occidental,27-manzanillo,
manzanillo_p1,operational,combined_cycle,natural_gas,g_petsal,03-occidental,27-manzanillo,
manzanillo_p2,operational,combined_cycle,natural_gas,g_petsal,03-occidental,27-manzanillo,
petacalco,operational,carboelectric,coal,ca_i_peta,03-occidental,29-lazaro_cardenas,
boquilla,operational,hydroelectric,,,05-norte,09-chihuahua,
el_retiro,operational,hydroelectric,,,02-oriental,39-grijalva,
