load_area,fuel,year,fuel_cost
04-los_mochis,fuel_oil,2017,50.262000020000002
04-los_mochis,fuel_oil,2018,53.461038709999997
04-los_mochis,fuel_oil,2019,56.332255089999997
04-los_mochis,fuel_oil,2020,58.048674310000003
04-los_mochis,fuel_oil,2021,59.341633389999998
04-los_mochis,fuel_oil,2022,60.557235749999997
04-los_mochis,fuel_oil,2023,61.783555620000001
04-los_mochis,fuel_oil,2024,62.863233350000002
04-los_mochis,fuel_oil,2025,63.766534890000003
04-los_mochis,fuel_oil,2026,65.089083900000006
04-los_mochis,fuel_oil,2027,66.314269980000006
04-los_mochis,fuel_oil,2028,67.627322410000005
04-los_mochis,fuel_oil,2029,68.962212019999996
04-los_mochis,fuel_oil,2030,70.261575699999995
05-culiacan,diesel,2016,75.145765940000004
05-culiacan,diesel,2017,90.359047290000007
05-culiacan,diesel,2018,94.070901809999995
05-culiacan,diesel,2019,97.309332549999993
05-culiacan,diesel,2020,99.382840979999997
05-culiacan,diesel,2021,101.22926030000001
05-culiacan,diesel,2022,103.177233
05-culiacan,diesel,2023,105.483126
05-culiacan,diesel,2024,109.43067079999999
05-culiacan,diesel,2025,111.90330700000001
05-culiacan,diesel,2026,113.38291409999998
05-culiacan,diesel,2027,114.73403940000001
05-culiacan,diesel,2028,115.88177469999999
05-culiacan,diesel,2029,116.81314170000002
05-culiacan,diesel,2030,117.74357509999999
06-mazatlan,natural_gas,2016,4.7755802139999997
06-mazatlan,natural_gas,2017,5.2720286649999997
06-mazatlan,natural_gas,2018,5.1642419010000005
06-mazatlan,natural_gas,2019,5.3891843740000001
06-mazatlan,natural_gas,2020,5.5074772270000008
06-mazatlan,natural_gas,2021,5.6118380120000007
06-mazatlan,natural_gas,2022,5.7161983139999997
06-mazatlan,natural_gas,2023,5.7683784649999996
06-mazatlan,natural_gas,2024,5.8205590989999996
06-mazatlan,natural_gas,2025,5.8727392500000004
06-mazatlan,natural_gas,2026,5.9249198839999995
06-mazatlan,natural_gas,2027,5.9771005179999994
06-mazatlan,natural_gas,2028,6.0292801860000003
06-mazatlan,natural_gas,2029,6.0814608200000002
06-mazatlan,natural_gas,2030,6.1336409710000002
06-mazatlan,fuel_oil,2016,36.194036670000003
06-mazatlan,fuel_oil,2017,50.13572113
06-mazatlan,fuel_oil,2018,53.334759820000002
06-mazatlan,fuel_oil,2019,56.205976200000002
06-mazatlan,fuel_oil,2020,57.92239541
06-mazatlan,fuel_oil,2021,59.215354500000004
06-mazatlan,fuel_oil,2022,60.430956860000002
06-mazatlan,fuel_oil,2023,61.65727673
06-mazatlan,fuel_oil,2024,62.73695446
06-mazatlan,fuel_oil,2025,63.64025599
06-mazatlan,fuel_oil,2026,64.962805009999997
06-mazatlan,fuel_oil,2027,66.187991080000003
06-mazatlan,fuel_oil,2028,67.501043519999996
06-mazatlan,fuel_oil,2029,68.835933130000001
06-mazatlan,fuel_oil,2030,70.135296800000006
07-juarez,natural_gas,2016,4.0740802139999994
07-juarez,natural_gas,2017,4.5705286650000003
07-juarez,natural_gas,2018,4.4627419010000002
07-juarez,natural_gas,2019,4.6876843739999998
07-juarez,natural_gas,2020,4.8059772269999996
07-juarez,natural_gas,2021,4.9103380119999995
07-juarez,natural_gas,2022,5.0146983139999994
07-juarez,natural_gas,2023,5.0668784650000003
07-juarez,natural_gas,2024,5.1190590989999993
07-juarez,natural_gas,2025,5.1712392500000002
07-juarez,natural_gas,2026,5.2234198840000001
07-juarez,natural_gas,2027,5.2756005180000001
07-juarez,natural_gas,2028,5.327780186
07-juarez,natural_gas,2029,5.37996082
07-juarez,natural_gas,2030,5.4321409709999999
07-juarez,diesel,2016,75.145765940000004
07-juarez,diesel,2017,90.359047290000007
07-juarez,diesel,2018,94.070901809999995
07-juarez,diesel,2019,97.309332549999993
07-juarez,diesel,2020,99.382840979999997
07-juarez,diesel,2021,101.22926030000001
07-juarez,diesel,2022,103.177233
07-juarez,diesel,2023,105.483126
07-juarez,diesel,2024,109.43067079999999
07-juarez,diesel,2025,111.90330700000001
07-juarez,diesel,2026,113.38291409999998
07-juarez,diesel,2027,114.73403940000001
07-juarez,diesel,2028,115.88177469999999
07-juarez,diesel,2029,116.81314170000002
07-juarez,diesel,2030,117.74357509999999
07-juarez,fuel_oil,2016,37.560804449999999
07-juarez,fuel_oil,2017,51.502488909999997
07-juarez,fuel_oil,2018,54.701527600000006
07-juarez,fuel_oil,2019,57.572743979999998
07-juarez,fuel_oil,2020,59.289163189999996
07-juarez,fuel_oil,2021,60.58212228
07-juarez,fuel_oil,2022,61.797724639999998
07-juarez,fuel_oil,2023,63.024044510000003
07-juarez,fuel_oil,2024,64.103722239999996
07-juarez,fuel_oil,2025,65.007023779999997
07-juarez,fuel_oil,2026,66.32957279
07-juarez,fuel_oil,2027,67.554758870000001
07-juarez,fuel_oil,2028,68.8678113
07-juarez,fuel_oil,2029,70.202700910000004
07-juarez,fuel_oil,2030,71.502064590000003
09-chihuahua,natural_gas,2016,3.9251802139999996
09-chihuahua,natural_gas,2017,4.4216286650000001
09-chihuahua,natural_gas,2018,4.313841901
09-chihuahua,natural_gas,2019,4.5387843740000005
09-chihuahua,natural_gas,2020,4.6570772270000003
09-chihuahua,natural_gas,2021,4.7614380119999993
09-chihuahua,natural_gas,2022,4.8657983139999992
09-chihuahua,natural_gas,2023,4.917978465
09-chihuahua,natural_gas,2024,4.970159099
09-chihuahua,natural_gas,2025,5.0223392499999999
09-chihuahua,natural_gas,2026,5.0745198839999999
09-chihuahua,natural_gas,2027,5.1267005179999998
09-chihuahua,natural_gas,2028,5.1788801860000007
09-chihuahua,natural_gas,2029,5.2310608199999997
09-chihuahua,natural_gas,2030,5.2832409709999997
09-chihuahua,diesel,2016,75.145765940000004
09-chihuahua,diesel,2017,90.359047290000007
09-chihuahua,diesel,2018,94.070901809999995
09-chihuahua,diesel,2019,97.309332549999993
09-chihuahua,diesel,2020,99.382840979999997
09-chihuahua,diesel,2021,101.22926030000001
09-chihuahua,diesel,2022,103.177233
09-chihuahua,diesel,2023,105.483126
09-chihuahua,diesel,2024,109.43067079999999
09-chihuahua,diesel,2025,111.90330700000001
09-chihuahua,diesel,2026,113.38291409999998
09-chihuahua,diesel,2027,114.73403940000001
09-chihuahua,diesel,2028,115.88177469999999
09-chihuahua,diesel,2029,116.81314170000002
09-chihuahua,diesel,2030,117.74357509999999
09-chihuahua,fuel_oil,2016,37.217605550000002
09-chihuahua,fuel_oil,2017,51.237206899999997
09-chihuahua,fuel_oil,2018,54.454221529999998
09-chihuahua,fuel_oil,2019,57.341530820000003
09-chihuahua,fuel_oil,2020,59.067630940000001
09-chihuahua,fuel_oil,2021,60.368007700000007
09-chihuahua,fuel_oil,2022,61.590677220000003
09-chihuahua,fuel_oil,2023,62.824276480000002
09-chihuahua,fuel_oil,2024,63.911206710000002
09-chihuahua,fuel_oil,2025,64.820210790000004
09-chihuahua,fuel_oil,2026,66.150167260000003
09-chihuahua,fuel_oil,2027,67.382206870000005
09-chihuahua,fuel_oil,2028,68.702472229999998
09-chihuahua,fuel_oil,2029,70.044591130000001
09-chihuahua,fuel_oil,2030,71.351002190000003
10-durango,natural_gas,2016,4.0740802139999994
10-durango,natural_gas,2017,4.5705286650000003
10-durango,natural_gas,2018,4.4627419010000002
10-durango,natural_gas,2019,4.6876843739999998
10-durango,natural_gas,2020,4.8059772269999996
10-durango,natural_gas,2021,4.9103380119999995
