LOAD_ZONE	TIMEPOINT	zone_demand_mw
31-central	3	7597.472577
31-central	4	4995.799618
31-central	5	6408.061061
31-central	6	7052.777838
31-central	7	7818.092946
31-central	8	5128.215792
32-poza_rica	1	419.9767129
32-poza_rica	2	465.6929072
32-poza_rica	3	504.7025457
32-poza_rica	4	378.7751246
32-poza_rica	5	438.09191519999996
32-poza_rica	6	490.6123891
32-poza_rica	7	542.1786204
32-poza_rica	8	397.8714271
33-veracruz	1	426.94547120000004
33-veracruz	2	473.42024349999997
33-veracruz	3	513.0771768
33-veracruz	4	385.0602167
33-veracruz	5	445.36126270000005
33-veracruz	6	498.75321940000003
33-veracruz	7	551.1750995
33-veracruz	8	404.4733879
34-puebla	1	1379.922134
34-puebla	2	1530.13234
34-puebla	3	1658.306741
34-puebla	4	1244.5456199999999
34-puebla	5	1439.443455
34-puebla	6	1612.010557
34-puebla	7	1781.4422940000002
34-puebla	8	1307.290552
35-acapulco	1	376.40109689999997
35-acapulco	2	417.3739061
35-acapulco	3	452.33601289999996
35-acapulco	4	339.4744709
35-acapulco	5	392.6367162
35-acapulco	6	439.7078118
35-acapulco	7	485.92367429999996
35-acapulco	8	356.58939419999996
36-temascal	1	547.1338448
36-temascal	2	606.6916165
36-temascal	3	657.5122759
36-temascal	4	493.457575
36-temascal	5	570.7338207
36-temascal	6	639.1560164
36-temascal	7	706.3350515999999
36-temascal	8	518.3357005
37-coatzacoalcos	1	476.35439510000003
37-coatzacoalcos	2	528.2075323
37-coatzacoalcos	3	572.4538254
37-coatzacoalcos	4	429.62190489999995
37-coatzacoalcos	5	496.90138260000003
37-coatzacoalcos	6	556.4722059
37-coatzacoalcos	7	614.9606891
37-coatzacoalcos	8	451.28169529999997
38-tabasco	1	630.8331203
38-tabasco	2	699.5019028
38-tabasco	3	758.0969895
38-tabasco	4	568.9455783
38-tabasco	5	658.0433661000001
38-tabasco	6	736.9326317000001
38-tabasco	7	814.388561
38-tabasco	8	597.6295022
39-grijalva	1	359.8149754
39-grijalva	2	398.9823169
39-grijalva	3	432.4038179
39-grijalva	4	324.51552189999995
39-grijalva	5	375.3351718
39-grijalva	6	420.33207869999995
39-grijalva	7	464.51143830000007
39-grijalva	8	340.87627569999995
40-ixtepec	1	147.80928930000002
40-ixtepec	2	163.89893899999998
40-ixtepec	3	177.6282405
40-ixtepec	4	133.3085389
40-ixtepec	5	154.18486940000003
40-ixtepec	6	172.6692607
40-ixtepec	7	190.81780980000002
40-ixtepec	8	140.0294137
41-lerma	1	156.9474909
41-lerma	2	214.5209058
41-lerma	3	214.3854917
41-lerma	4	150.8300842
41-lerma	5	183.8564721
41-lerma	6	247.5022855
41-lerma	7	243.53221580000002
41-lerma	8	175.939129
42-merida	1	343.85197830000004
42-merida	2	469.9880031
42-merida	3	469.691328
42-merida	4	330.4495187
42-merida	5	402.80613139999997
42-merida	6	542.2460087000001
42-merida	7	533.5480911999999
42-merida	8	385.4602403
43-cancun	1	364.5586509
43-cancun	2	498.2905529
43-cancun	3	497.97601210000005
43-cancun	4	350.34909889999994
43-cancun	5	427.06300710000005
43-cancun	6	574.8999159
43-cancun	7	565.6782122000001
43-cancun	8	408.6725511
44-chetumal	1	46.42676333
44-chetumal	2	63.45760143
44-chetumal	3	63.41754447
44-chetumal	4	44.61716834
44-chetumal	5	54.38673066
44-chetumal	6	73.21384986
44-chetumal	7	72.03946035
44-chetumal	8	52.04469504
45-cozumel	1	22.16001918
45-cozumel	2	30.28903081
45-cozumel	3	30.26991117
45-cozumel	4	21.29627903
45-cozumel	5	25.95940161
45-cozumel	6	34.94579852
45-cozumel	7	34.38524913
45-cozumel	8	24.84152152
46-tijuana	1	280.2617776
46-tijuana	2	385.0636455
46-tijuana	3	412.5975209
46-tijuana	4	305.6232231
46-tijuana	5	286.184756
46-tijuana	6	390.6500686
46-tijuana	7	401.28175419999997
46-tijuana	8	312.2229028
47-ensenada	1	83.24411448
47-ensenada	2	114.37265
47-ensenada	3	122.55083640000001
47-ensenada	4	90.77703992
47-ensenada	5	85.00337359999999
47-ensenada	6	116.03194450000001
47-ensenada	7	119.18979669999999
47-ensenada	8	92.7372947
48-mexicali	1	482.5253728
48-mexicali	2	662.9622515
48-mexicali	3	710.3671941
48-mexicali	4	526.1900532
48-mexicali	5	492.7229366
48-mexicali	6	672.5803697000001
48-mexicali	7	690.8848924
48-mexicali	8	537.5526904
49-san_luis_rio_colorado	1	101.26228470000001
49-san_luis_rio_colorado	2	139.12858490000002
49-san_luis_rio_colorado	3	149.07693799999998
49-san_luis_rio_colorado	4	110.4257102
49-san_luis_rio_colorado	5	103.40233509999999
49-san_luis_rio_colorado	6	141.1470334
49-san_luis_rio_colorado	7	144.9884019
49-san_luis_rio_colorado	8	112.81026170000001
50-villa_constitucion	1	20.75451466
50-villa_constitucion	2	24.77274813
50-villa_constitucion	3	26.82483439
50-villa_constitucion	4	17.72130037
50-villa_constitucion	5	21.09455073
50-villa_constitucion	6	24.87987053
50-villa_constitucion	7	27.43447222
50-villa_constitucion	8	18.42354779
51-la_paz	1	85.26993687
51-la_paz	2	101.7788517
51-la_paz	3	110.2098494
51-la_paz	4	72.80797401
51-la_paz	5	86.6669753
51-la_paz	6	102.2189641
51-la_paz	7	112.7145468
51-la_paz	8	75.69315799
52-los_cabos	1	96.88450293
52-los_cabos	2	115.64208700000002
52-los_cabos	3	125.2214658
52-los_cabos	4	82.72510371
52-los_cabos	5	98.47183111
52-los_cabos	6	116.14214679999999
52-los_cabos	7	128.06732649999998
52-los_cabos	8	86.00327684
53-mulege	1	11.0
53-mulege	2	14.0
53-mulege	3	15.0
53-mulege	4	9.0
53-mulege	5	12.0
53-mulege	6	15.0
53-mulege	7	15.0
53-mulege	8	10.0
