GENERATION_PROJECT	timepoint	gen_max_capacity_factor
cs_otr_06	4	0.0
cs_otr_06	5	0.272230507813
cs_otr_06	6	0.664165703125
cs_otr_06	7	0.0
cs_otr_06	8	0.0
cs_otr_11	1	0.129381455078
cs_otr_11	2	0.473051015625
cs_otr_11	3	0.0
cs_otr_11	4	0.0
cs_otr_11	5	0.272205195312
cs_otr_11	6	0.617440546875
cs_otr_11	7	0.0
cs_otr_11	8	0.0
cs_otr_12	1	0.0176263928223
cs_otr_12	2	0.429545976562
cs_otr_12	3	0.0
cs_otr_12	4	0.0
cs_otr_12	5	0.10826447265599999
cs_otr_12	6	0.710685390625
cs_otr_12	7	0.0
cs_otr_12	8	0.0
cs_otr_17	1	0.193223222656
cs_otr_17	2	0.493933554687
cs_otr_17	3	0.0
cs_otr_17	4	0.0
cs_otr_17	5	0.272230507813
cs_otr_17	6	0.664165703125
cs_otr_17	7	0.0
cs_otr_17	8	0.0
cs_pp_01	1	0.373984726562
cs_pp_01	2	0.428934453125
cs_pp_01	3	0.0
cs_pp_01	4	0.0
cs_pp_01	5	0.3861590625
cs_pp_01	6	0.423876328125
cs_pp_01	7	0.0
cs_pp_01	8	0.0
cs_pp_02	1	0.08081977539060001
cs_pp_02	2	0.487204765625
cs_pp_02	3	0.0
cs_pp_02	4	0.0
cs_pp_02	5	0.165315019531
cs_pp_02	6	0.711817578125
cs_pp_02	7	0.0
cs_pp_02	8	0.0
cs_pp_03	1	0.08081977539060001
cs_pp_03	2	0.487204765625
cs_pp_03	3	0.0
cs_pp_03	4	0.0
cs_pp_03	5	0.165315019531
cs_pp_03	6	0.711817578125
cs_pp_03	7	0.0
cs_pp_03	8	0.0
cs_pp_04	1	0.08081977539060001
cs_pp_04	2	0.487204765625
cs_pp_04	3	0.0
cs_pp_04	4	0.0
cs_pp_04	5	0.165315019531
cs_pp_04	6	0.711817578125
cs_pp_04	7	0.0
cs_pp_04	8	0.0
cs_pp_05	1	0.15486459960899998
cs_pp_05	2	0.57944328125
cs_pp_05	3	0.0
cs_pp_05	4	0.0
cs_pp_05	5	0.269151835937
cs_pp_05	6	0.671978359375
cs_pp_05	7	0.0
cs_pp_05	8	0.0
cs_pp_06	1	0.15486459960899998
cs_pp_06	2	0.57944328125
cs_pp_06	3	0.0
cs_pp_06	4	0.0
cs_pp_06	5	0.269151835937
cs_pp_06	6	0.671978359375
cs_pp_06	7	0.0
cs_pp_06	8	0.0
cs_pp_08	1	0.15486459960899998
cs_pp_08	2	0.57944328125
cs_pp_08	3	0.0
cs_pp_08	4	0.0
cs_pp_08	5	0.269151835937
cs_pp_08	6	0.671978359375
cs_pp_08	7	0.0
cs_pp_08	8	0.0
cs_pp_09	1	0.15486459960899998
cs_pp_09	2	0.57944328125
cs_pp_09	3	0.0
cs_pp_09	4	0.0
cs_pp_09	5	0.269151835937
cs_pp_09	6	0.671978359375
cs_pp_09	7	0.0
cs_pp_09	8	0.0
cs_pp_10	1	0.0557279638672
cs_pp_10	2	0.636288320313
cs_pp_10	3	0.0
