name_switch,name_prodesen,load_zone,load_area,capacity_factor
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,32.028205555555552
boquilla,boquilla,05-norte,09-chihuahua,67.074477777777787
boquilla,boquilla,05-norte,09-chihuahua,70.467944444444441
boquilla,boquilla,05-norte,09-chihuahua,63.518044444444442
boquilla,boquilla,05-norte,09-chihuahua,62.06870555555556
boquilla,boquilla,05-norte,09-chihuahua,52.754916666666659
boquilla,boquilla,05-norte,09-chihuahua,39.252788888888887
boquilla,boquilla,05-norte,09-chihuahua,61.062744444444441
boquilla,boquilla,05-norte,09-chihuahua,59.193427777777771
boquilla,boquilla,05-norte,09-chihuahua,10.975938888888887
boquilla,boquilla,05-norte,09-chihuahua,0.0
boquilla,boquilla,05-norte,09-chihuahua,0.0
botello,botello,03-occidental,28-carapan,35.271018518518517
botello,botello,03-occidental,28-carapan,26.935501543209877
botello,botello,03-occidental,28-carapan,22.30452160493827
botello,botello,03-occidental,28-carapan,34.02898148148148
botello,botello,03-occidental,28-carapan,28.684737654320987
botello,botello,03-occidental,28-carapan,32.132739197530867
botello,botello,03-occidental,28-carapan,46.53828703703703
botello,botello,03-occidental,28-carapan,50.503549382716052
botello,botello,03-occidental,28-carapan,71.387476851851844
botello,botello,03-occidental,28-carapan,69.978233024691363
botello,botello,03-occidental,28-carapan,75.28810956790123
botello,botello,03-occidental,28-carapan,47.647538580246909
botello,botello,03-occidental,28-carapan,28.652415123456791
botello,botello,03-occidental,28-carapan,27.809452160493827
botello,botello,03-occidental,28-carapan,36.909205246913579
botello,botello,03-occidental,28-carapan,33.115138888888886
botello,botello,03-occidental,28-carapan,32.203202160493824
botello,botello,03-occidental,28-carapan,28.878225308641976
botello,botello,03-occidental,28-carapan,49.183580246913571
botello,botello,03-occidental,28-carapan,58.963418209876551
botello,botello,03-occidental,28-carapan,73.928533950617293
botello,botello,03-occidental,28-carapan,62.709390432098765
botello,botello,03-occidental,28-carapan,66.842044753086412
botello,botello,03-occidental,28-carapan,37.7455787037037
botello,botello,03-occidental,28-carapan,41.593564814814812
botello,botello,03-occidental,28-carapan,30.147469135802467
botello,botello,03-occidental,28-carapan,41.743063271604939
botello,botello,03-occidental,28-carapan,38.438811728395059
botello,botello,03-occidental,28-carapan,27.258788580246911
botello,botello,03-occidental,28-carapan,43.130022839506168
botello,botello,03-occidental,28-carapan,52.59518518518518
botello,botello,03-occidental,28-carapan,59.213896604938277
botello,botello,03-occidental,28-carapan,56.43237654320987
botello,botello,03-occidental,28-carapan,54.375987654320987
botello,botello,03-occidental,28-carapan,54.027677469135796
botello,botello,03-occidental,28-carapan,42.603410493827155
chicoasen,chicoasen,02-oriental,39-grijalva,7.5608803819444441
chicoasen,chicoasen,02-oriental,39-grijalva,8.9805011574074065
chicoasen,chicoasen,02-oriental,39-grijalva,12.890495775462963
chicoasen,chicoasen,02-oriental,39-grijalva,24.153184953703704
chicoasen,chicoasen,02-oriental,39-grijalva,18.874011458333335
chicoasen,chicoasen,02-oriental,39-grijalva,26.995770717592588
chicoasen,chicoasen,02-oriental,39-grijalva,33.928441898148151
chicoasen,chicoasen,02-oriental,39-grijalva,31.018917013888892
chicoasen,chicoasen,02-oriental,39-grijalva,43.215878761574075
chicoasen,chicoasen,02-oriental,39-grijalva,37.323798784722221
chicoasen,chicoasen,02-oriental,39-grijalva,30.587919039351853
chicoasen,chicoasen,02-oriental,39-grijalva,22.716846469907409
chicoasen,chicoasen,02-oriental,39-grijalva,37.96028877314815
chicoasen,chicoasen,02-oriental,39-grijalva,35.5607802662037
chicoasen,chicoasen,02-oriental,39-grijalva,33.727375057870368
chicoasen,chicoasen,02-oriental,39-grijalva,35.540115914351851
chicoasen,chicoasen,02-oriental,39-grijalva,45.846898958333341
chicoasen,chicoasen,02-oriental,39-grijalva,39.284421585648147
chicoasen,chicoasen,02-oriental,39-grijalva,29.851176099537035
chicoasen,chicoasen,02-oriental,39-grijalva,49.023579398148151
chicoasen,chicoasen,02-oriental,39-grijalva,25.373396006944443
chicoasen,chicoasen,02-oriental,39-grijalva,24.139409490740743
chicoasen,chicoasen,02-oriental,39-grijalva,14.560878993055553
chicoasen,chicoasen,02-oriental,39-grijalva,20.697252314814815
chicoasen,chicoasen,02-oriental,39-grijalva,4.9125104745370365
chicoasen,chicoasen,02-oriental,39-grijalva,5.9534824652777774
chicoasen,chicoasen,02-oriental,39-grijalva,15.884231828703705
chicoasen,chicoasen,02-oriental,39-grijalva,54.108597569444441
chicoasen,chicoasen,02-oriental,39-grijalva,59.110681655092591
chicoasen,chicoasen,02-oriental,39-grijalva,48.723275983796299
chicoasen,chicoasen,02-oriental,39-grijalva,40.816786747685178
chicoasen,chicoasen,02-oriental,39-grijalva,44.679992418981485
chicoasen,chicoasen,02-oriental,39-grijalva,60.790135879629624
chicoasen,chicoasen,02-oriental,39-grijalva,45.042186111111107
chicoasen,chicoasen,02-oriental,39-grijalva,35.385619039351852
chicoasen,chicoasen,02-oriental,39-grijalva,24.081778993055554
chilapan,chilapan,02-oriental,37-coatzacoalcos,62.78603632478633
chilapan,chilapan,02-oriental,37-coatzacoalcos,43.589342948717949
chilapan,chilapan,02-oriental,37-coatzacoalcos,35.541388888888889
chilapan,chilapan,02-oriental,37-coatzacoalcos,19.885149572649571
chilapan,chilapan,02-oriental,37-coatzacoalcos,21.276495726495725
chilapan,chilapan,02-oriental,37-coatzacoalcos,35.173194444444448
chilapan,chilapan,02-oriental,37-coatzacoalcos,28.770790598290596
chilapan,chilapan,02-oriental,37-coatzacoalcos,20.739001068376066
chilapan,chilapan,02-oriental,37-coatzacoalcos,81.483092948717953
chilapan,chilapan,02-oriental,37-coatzacoalcos,80.747211538461542
chilapan,chilapan,02-oriental,37-coatzacoalcos,88.767323717948727
chilapan,chilapan,02-oriental,37-coatzacoalcos,99.687713675213686
