,urban towns,status
Santa Clara,Xalapa,
Santiago Papasquiaro,Jilotepec,
Suchil,Rafael Lucio,
Tamazula,Tlalnelhuayocan,
Tepehuanes,Cazones de Herrera,
Tlahualilo,Coatzintla,
Topia,Papantla,
Vicente Guerrero,Poza Rica de Hidalgo,
Nuevo Ideal,Tihuatlan,
Abasolo,Atzacan,
Acambaro,Camerino Z. Mendoza,
San Miguel de Allende,Huiloapan de Cuauhtemoc,
Apaseo el Alto,Ixhuatlancillo,
Apaseo el Grande,Ixtaczoquitlan,
Atarjea,Maltrata,
Celaya,Mariano Escobedo,
Manuel Doblado,Nogales,
Comonfort,Orizaba,
Coroneo,Rafael Delgado,
Cortazar,Rio Blanco,
Cueramaro,Tlilapan,
Doctor Mora,Cosoleacaque,
Dolores Hidalgo Cuna de la Independencia Nacional,Chinameca,
Guanajuato,Jaltipan,
Huanimaro,Minatitlan,
Irapuato,Oteapan,
Jaral del Progreso,Zaragoza,
Jerecuaro,Coatzacoalcos,
Leon,Ixhuatlan del Sureste,
Moroleon,Nanchital de Lazaro Cardenas del Rio,
Ocampo,Amatlan de los Reyes,
Penjamo,Cordoba,
Pueblo Nuevo,Fortin,
Purisima del Rincon,Yanga,
Romita,Acayucan,
Salamanca,Oluta,
Salvatierra,Soconusco,
San Diego de la Union,Conkal,
San Felipe,Kanasin,
San Francisco del Rincon,Merida,
San Jose Iturbide,Ucu,
San Luis de la Paz,Uman,
Santa Catarina,Guadalupe,
Santa Cruz de Juventino Rosas,Morelos,
Santiago Maravatio,Zacatecas,
Silao,Celaya,
Tarandacuao,Comonfort,
Tarimoro,Villagran,
Tierra Blanca,Almoloya del Rio,
Uriangato,Atizapan,
Valle de Santiago,Capulhuac,
Victoria,Xalatlaco,
Villagran,Texcalyacac,
Xichu,Tianguistenco,
Yuriria,Chignautla,
Acapulco de Juarez,Teziutlan,
Ahuacuotzingo,,
Ajuchitlan del Progreso,,
Alcozauca de Guerrero,,
Alpoyeca,,
Apaxtla,,
Arcelia,,
Atenango del Rio,,
Atlamajalcingo del Monte,,
Atlixtac,,
Atoyac de alvarez,,
Ayutla de los Libres,,
Azoyu,,
Benito Juarez,,
Buenavista de Cuellar,,
Coahuayutla de Jose Maria Izazaga,,
Cocula,,
Copala,,
Copalillo,,
Copanatoyac,,
Coyuca de Benitez,,
Coyuca de Catalan,,
Cuajinicuilapa,,
Cualac,,
Cuautepec,,
Cuetzala del Progreso,,
Cutzamala de Pinzon,,
Chilapa de alvarez,,
Chilpancingo de los Bravo,,
Florencio Villarreal,,
General Canuto A. Neri,,
General Heliodoro Castillo,,
Huamuxtitlan,,
Huitzuco de los Figueroa,,
Iguala de la Independencia,,
Igualapa,,
Ixcateopan de Cuauhtemoc,,
Zihuatanejo de Azueta,,
Juan R. Escudero,,
Leonardo Bravo,,
Malinaltepec,,
Martir de Cuilapan,,
Metlatonoc,,
Mochitlan,,
Olinala,,
Ometepec,,
Pedro Ascencio Alquisiras,,
Petatlan,,
Pilcaya,,
Pungarabato,,
Quechultenango,,
San Luis Acatlan,,
San Marcos,,
San Miguel Totolapan,,
Taxco de Alarcon,,
Tecoanapa,,
Tecpan de Galeana,,
Teloloapan,,
Tepecoacuilco de Trujano,,
Tetipac,,
Tixtla de Guerrero,,
Tlacoachistlahuaca,,
Tlacoapa,,
Tlalchapa,,
Tlalixtaquilla de Maldonado,,
Tlapa de Comonfort,,
Tlapehuala,,
La Union de Isidoro Montes de Oca,,
Xalpatlahuac,,
Xochihuehuetlan,,
Xochistlahuaca,,
Zapotitlan Tablas,,
Zirandaro,,
Zitlala,,
Eduardo Neri,,
Acatepec,,
Marquelia,,
Cochoapa el Grande,,
Jose Joaquin de Herrera,,
Juchitan,,
Iliatenco,,
Acatlan,,
Acaxochitlan,,
Actopan,,
Agua Blanca de Iturbide,,
Ajacuba,,
Alfajayucan,,
Almoloya,,
Apan,,
El Arenal,,
Atitalaquia,,
Atlapexco,,
Atotonilco el Grande,,
Atotonilco de Tula,,
Calnali,,
Cardonal,,
Cuautepec de Hinojosa,,
Chapantongo,,
Chapulhuacan,,
Chilcuautla,,
Eloxochitlan,,
Emiliano Zapata,,
Epazoyucan,,
Francisco I. Madero,,
Huasca de Ocampo,,
Huautla,,
Huazalingo,,
Huehuetla,,
Huejutla de Reyes,,
Huichapan,,
Ixmiquilpan,,
Jacala de Ledezma,,
Jaltocan,,
Juarez Hidalgo,,
Lolotla,,
Metepec,,
San Agustin Metzquititlan,,
Metztitlan,,
Mineral del Chico,,
Mineral del Monte,,
La Mision,,
Mixquiahuala de Juarez,,
Molango de Escamilla,,
Nicolas Flores,,
Nopala de Villagran,,
Omitlan de Juarez,,
San Felipe Orizatlan,,
Pacula,,
Pachuca de Soto,,
Pisaflores,,
Progreso de Obregon,,
Mineral de la Reforma,,
San Agustin Tlaxiaca,,
San Bartolo Tutotepec,,
San Salvador,,
Santiago de Anaya,,
Santiago Tulantepec de Lugo Guerrero,,
Singuilucan,,
Tasquillo,,
Tecozautla,,
Tenango de Doria,,
Tepeapulco,,
Tepehuacan de Guerrero,,
Tepeji del Rio de Ocampo,,
Tepetitlan,,
Tetepango,,
Villa de Tezontepec,,
Tezontepec de Aldama,,
Tianguistengo,,
Tizayuca,,
Tlahuelilpan,,
Tlahuiltepa,,
Tlanalapa,,
Tlanchinol,,
Tlaxcoapan,,
Tolcayuca,,
Tula de Allende,,
Tulancingo de Bravo,,
Xochiatipan,,
Xochicoatlan,,
Yahualica,,
Zacualtipan de angeles,,
Zapotlan de Juarez,,
Zempoala,,
Zimapan,,
Acatic,,
Acatlan de Juarez,,
Ahualulco de Mercado,,
Amacueca,,
Amatitan,,
Ameca,,
San Juanito de Escobedo,,
Arandas,,
El Arenal,,
Atemajac de Brizuela,,
Atengo,,
Atenguillo,,
Atotonilco el Alto,,
Atoyac,,
Autlan de Navarro,,
Ayotlan,,
Ayutla,,
La Barca,,
Bolaños,,
Cabo Corrientes,,
Casimiro Castillo,,
Cihuatlan,,
Zapotlan el Grande,,
Cocula,,
Colotlan,,
Concepcion de Buenos Aires,,
Cuautitlan de Garcia Barragan,,
Cuautla,,
Cuquio,,
Chapala,,
Chimaltitan,,
Chiquilistlan,,
Degollado,,
Ejutla,,
Encarnacion de Diaz,,
Etzatlan,,
El Grullo,,
Guachinango,,
Guadalajara,,
Hostotipaquillo,,
Huejucar,,
Huejuquilla el Alto,,
La Huerta,,
Ixtlahuacan de los Membrillos,,
Ixtlahuacan del Rio,,
Jalostotitlan,,
Jamay,,
Jesus Maria,,
Jilotlan de los Dolores,,
Jocotepec,,
Juanacatlan,,
Juchitlan,,
Lagos de Moreno,,
El Limon,,
Magdalena,,
Santa Maria del Oro,,
La Manzanilla de la Paz,,
Mascota,,
Mazamitla,,
Mexticacan,,
Mezquitic,,
Mixtlan,,
Ocotlan,,
Ojuelos de Jalisco,,
Pihuamo,,
Poncitlan,,
Puerto Vallarta,,
Villa Purificacion,,
Quitupan,,
El Salto,,
San Cristobal de la Barranca,,
San Diego de Alejandria,,
San Juan de los Lagos,,
San Julian,,
San Marcos,,
San Martin de Bolaños,,
San Martin Hidalgo,,
San Miguel el Alto,,
Gomez Farias,,
San Sebastian del Oeste,,
Santa Maria de los angeles,,
Sayula,,
Tala,,
Talpa de Allende,,
Tamazula de Gordiano,,
Tapalpa,,
Tecalitlan,,
Tecolotlan,,
Techaluta de Montenegro,,
Tenamaxtlan,,
Teocaltiche,,
Teocuitatlan de Corona,,
Tepatitlan de Morelos,,
Tequila,,
Teuchitlan,,
Tizapan el Alto,,
Tlajomulco de Zuñiga,,
San Pedro Tlaquepaque,,
Toliman,,
Tomatlan,,
Tonala,,
Tonaya,,
Tonila,,
Totatiche,,
Tototlan,,
Tuxcacuesco,,
Tuxcueca,,
Tuxpan,,
Union de San Antonio,,
Union de Tula,,
Valle de Guadalupe,,
Valle de Juarez,,
San Gabriel,,
Villa Corona,,
Villa Guerrero,,
Villa Hidalgo,,
Cañadas de Obregon,,
Yahualica de Gonzalez Gallo,,
Zacoalco de Torres,,
Zapopan,,
Zapotiltic,,
Zapotitlan de Vadillo,,
Zapotlan del Rey,,
Zapotlanejo,,
San Ignacio Cerro Gordo,,
Acambay de Ruiz Castañeda,,
Acolman,,
Aculco,,
Almoloya de Alquisiras,,
Almoloya de Juarez,,
Almoloya del Rio,,
Amanalco,,
Amatepec,,
Amecameca,,
Apaxco,,
Atenco,,
Atizapan,,
Atizapan de Zaragoza,,
Atlacomulco,,
Atlautla,,
Axapusco,,
Ayapango,,
Calimaya,,
Capulhuac,,
Coacalco de Berriozabal,,
Coatepec Harinas,,
Cocotitlan,,
Coyotepec,,
Cuautitlan,,
Chalco,,
Chapa de Mota,,
Chapultepec,,
Chiautla,,
Chicoloapan,,
Chiconcuac,,
Chimalhuacan,,
Donato Guerra,,
Ecatepec de Morelos,,
Ecatzingo,,
Huehuetoca,,
Hueypoxtla,,
Huixquilucan,,
Isidro Fabela,,
Ixtapaluca,,
Ixtapan de la Sal,,
Ixtapan del Oro,,
Ixtlahuaca,,
Jalatlaco,,
Jaltenco,,
Jilotepec,,
Jilotzingo,,
Jiquipilco,,
Jocotitlan,,
Joquicingo,,
Juchitepec,,
Lerma,,
Malinalco,,
Melchor Ocampo,,
Metepec,,
Mexicaltzingo,,
Morelos,,
Naucalpan de Juarez,,
Nezahualcoyotl,,
Nextlalpan,,
Nicolas Romero,,
Nopaltepec,,
Ocoyoacac,,
Ocuilan,,
El Oro,,
Otumba,,
Otzoloapan,,
Otzolotepec,,
Ozumba,,
Papalotla,,
La Paz,,
Polotitlan,,
Rayon,,
San Antonio la Isla,,
San Felipe del Progreso,,
San Martin de las Piramides,,
San Mateo Atenco,,
San Simon de Guerrero,,
Santo Tomas,,
Soyaniquilpan de Juarez,,
Sultepec,,
Tecamac,,
Tejupilco,,
Temamatla,,
Temascalapa,,
Temascalcingo,,
Temascaltepec,,
Temoaya,,
Tenancingo,,
Tenango del Aire,,
Tenango del Valle,,
Teoloyucan,,
Teotihuacan,,
Tepetlaoxtoc,,
Tepetlixpa,,
Tepotzotlan,,
Tequixquiac,,
Texcaltitlan,,
Texcalyacac,,
Texcoco,,
Tezoyuca,,
Tianguistenco,,
Timilpan,,
Tlalmanalco,,
Tlalnepantla de Baz,,
Tlatlaya,,
Toluca,,
Tonatico,,
Tultepec,,
Tultitlan,,
Valle de Bravo,,
Villa de Allende,,
Villa del Carbon,,
Villa Guerrero,,
Villa Victoria,,
Xonacatlan,,
Zacazonapan,,
Zacualpan,,
Zinacantepec,,
Zumpahuacan,,
Zumpango,,
Cuautitlan Izcalli,,
Valle de Chalco Solidaridad,,
Luvianos,,
San Jose del Rincon,,
Tonanitla,,
Acuitzio,,
Aguililla,,
alvaro Obregon,,
Angamacutiro,,
Angangueo,,
Apatzingan,,
Aporo,,
Aquila,,
Ario,,
Arteaga,,
Briseñas,,
Buenavista,,
Caracuaro,,
Coahuayana,,
Coalcoman de Vazquez Pallares,,
Coeneo,,
Contepec,,
Copandaro,,
Cotija,,
Cuitzeo,,
Charapan,,
Charo,,
Chavinda,,
Cheran,,
Chilchota,,
Chinicuila,,
Chucandiro,,
Churintzio,,
Churumuco,,
Ecuandureo,,
Epitacio Huerta,,
Erongaricuaro,,
Gabriel Zamora,,
Hidalgo,,
La Huacana,,
Huandacareo,,
Huaniqueo,,
Huetamo,,
Huiramba,,
Indaparapeo,,
Irimbo,,
Ixtlan,,
Jacona,,
Jimenez,,
Jiquilpan,,
Juarez,,
Jungapeo,,
Lagunillas,,
Madero,,
Maravatio,,
Marcos Castellanos,,
Lazaro Cardenas,,
Morelia,,
Morelos,,
Mugica,,
Nahuatzen,,
Nocupetaro,,
Nuevo Parangaricutiro,,
Nuevo Urecho,,
Numaran,,
Ocampo,,
Pajacuaran,,
Panindicuaro,,
Paracuaro,,
Paracho,,
Patzcuaro,,
Penjamillo,,
Periban,,
La Piedad,,
Purepero,,
Puruandiro,,
Querendaro,,
Quiroga,,
Cojumatlan de Regules,,
Los Reyes,,
Sahuayo,,
San Lucas,,
Santa Ana Maya,,
Salvador Escalante,,
Senguio,,
Susupuato,,
Tacambaro,,
Tancitaro,,
Tangamandapio,,
Tangancicuaro,,
Tanhuato,,
Taretan,,
Tarimbaro,,
Tepalcatepec,,
Tingambato,,
Tinguindin,,
Tiquicheo de Nicolas Romero,,
Tlalpujahua,,
Tlazazalca,,
Tocumbo,,
Tumbiscatio,,
Turicato,,
Tuxpan,,
Tuzantla,,
Tzintzuntzan,,
Tzitzio,,
Uruapan,,
Venustiano Carranza,,
Villamar,,
Vista Hermosa,,
Yurecuaro,,
Zacapu,,
Zamora,,
Zinaparo,,
Zinapecuaro,,
Ziracuaretiro,,
Zitacuaro,,
Jose Sixto Verduzco,,
Amacuzac,,
Atlatlahucan,,
Axochiapan,,
Ayala,,
Coatlan del Rio,,
Cuautla,,
Cuernavaca,,
Emiliano Zapata,,
Huitzilac,,
Jantetelco,,
Jiutepec,,
Jojutla,,
Jonacatepec,,
Mazatepec,,
Miacatlan,,
Ocuituco,,
Puente de Ixtla,,
Temixco,,
Tepalcingo,,
Tepoztlan,,
Tetecala,,
Tetela del Volcan,,
Tlalnepantla,,
Tlaltizapan de Zapata,,
Tlaquiltenango,,
Tlayacapan,,
Totolapan,,
Xochitepec,,
Yautepec,,
Yecapixtla,,
Zacatepec,,
Zacualpan,,
Temoac,,
Acaponeta,,
Ahuacatlan,,
Amatlan de Cañas,,
Compostela,,
Huajicori,,
Ixtlan del Rio,,
Jala,,
Xalisco,,
Del Nayar,,
Rosamorada,,
Ruiz,,
San Blas,,
San Pedro Lagunillas,,
Santa Maria del Oro,,
Santiago Ixcuintla,,
Tecuala,,
Tepic,,
Tuxpan,,
La Yesca,,
Bahia de Banderas,,
Abasolo,,
Agualeguas,,
Los Aldamas,,
Allende,,
Anahuac,,
Apodaca,,
Aramberri,,
Bustamante,,
Cadereyta Jimenez,,
El Carmen,,
Cerralvo,,
Cienega de Flores,,
China,,
Doctor Arroyo,,
Doctor Coss,,
Doctor Gonzalez,,
Galeana,,
Garcia,,
San Pedro Garza Garcia,,
General Bravo,,
General Escobedo,,
General Teran,,
General Treviño,,
General Zaragoza,,
General Zuazua,,
Guadalupe,,
Los Herreras,,
Higueras,,
Hualahuises,,
Iturbide,,
Juarez,,
Lampazos de Naranjo,,
Linares,,
Marin,,
Melchor Ocampo,,
Mier y Noriega,,
Mina,,
Montemorelos,,
Monterrey,,
Paras,,
Pesqueria,,
Los Ramones,,
Rayones,,
Sabinas Hidalgo,,
Salinas Victoria,,
San Nicolas de los Garza,,
Hidalgo,,
Santa Catarina,,
Santiago,,
Vallecillo,,
Villaldama,,
Abejones,,
Acatlan de Perez Figueroa,,
Asuncion Cacalotepec,,
Asuncion Cuyotepeji,,
Asuncion Ixtaltepec,,
Asuncion Nochixtlan,,
Asuncion Ocotlan,,
Asuncion Tlacolulita,,
Ayotzintepec,,
El Barrio de la Soledad,,
Calihuala,,
Candelaria Loxicha,,
Cienega de Zimatlan,,
Ciudad Ixtepec,,
Coatecas Altas,,
Coicoyan de las Flores,,
La Compañia,,
Concepcion Buenavista,,
Concepcion Papalo,,
Constancia del Rosario,,
Cosolapa,,
Cosoltepec,,
Cuilapam de Guerrero,,
Cuyamecalco Villa de Zaragoza,,
Chahuites,,
Chalcatongo de Hidalgo,,
Chiquihuitlan de Benito Juarez,,
Heroica Ciudad de Ejutla de Crespo,,
Eloxochitlan de Flores Magon,,
El Espinal,,
Tamazulapam del Espiritu Santo,,
Fresnillo de Trujano,,
Guadalupe Etla,,
Guadalupe de Ramirez,,
Guelatao de Juarez,,
Guevea de Humboldt,,
Mesones Hidalgo,,
Villa Hidalgo,,
Heroica Ciudad de Huajuapan de Leon,,
Huautepec,,
Huautla de Jimenez,,
Ixtlan de Juarez,,
Heroica Ciudad de Juchitan de Zaragoza,,
Loma Bonita,,
Magdalena Apasco,,
Magdalena Jaltepec,,
Santa Magdalena Jicotlan,,
Magdalena Mixtepec,,
Magdalena Ocotlan,,
Magdalena Peñasco,,
Magdalena Teitipac,,
Magdalena Tequisistlan,,
Magdalena Tlacotepec,,
Magdalena Zahuatlan,,
Mariscala de Juarez,,
Martires de Tacubaya,,
Matias Romero Avendaño,,
Mazatlan Villa de Flores,,
Miahuatlan de Porfirio Diaz,,
Mixistlan de la Reforma,,
Monjas,,
Natividad,,
Nazareno Etla,,
Nejapa de Madero,,
Ixpantepec Nieves,,
Santiago Niltepec,,
Oaxaca de Juarez,,
Ocotlan de Morelos,,
La Pe,,
Pinotepa de Don Luis,,
Pluma Hidalgo,,
San Jose del Progreso,,
Putla Villa de Guerrero,,
Santa Catarina Quioquitani,,
Reforma de Pineda,,
La Reforma,,
Reyes Etla,,
Rojas de Cuauhtemoc,,
Salina Cruz,,
San Agustin Amatengo,,
San Agustin Atenango,,
San Agustin Chayuco,,
San Agustin de las Juntas,,
San Agustin Etla,,
San Agustin Loxicha,,
San Agustin Tlacotepec,,
San Agustin Yatareni,,
San Andres Cabecera Nueva,,
San Andres Dinicuiti,,
San Andres Huaxpaltepec,,
San Andres Huayapam,,
San Andres Ixtlahuaca,,
San Andres Lagunas,,
San Andres Nuxiño,,
San Andres Paxtlan,,
San Andres Sinaxtla,,
