Unnamed: 0,state,county,lat,lon,lz
213,chihuahua,la_cruz,27.8656136,-105.2071301,9
214,chihuahua,cuauhtemoc,28.406359,-106.8654066,9
215,chihuahua,cusihuiriachi,28.2394654,-106.8338631,9
216,chihuahua,chihuahua,28.6329957,-106.0691004,9
217,chihuahua,chinipas,27.3941742,-108.5358841,3
218,chihuahua,delicias,28.1871201,-105.4595306,9
219,chihuahua,dr._belisario_dominguez,28.1513246,-106.4720741,9
220,chihuahua,galeana,30.1149805,-107.6147336,8
221,chihuahua,santa_isabel,28.3430077,-106.3664096,9
222,chihuahua,gomez_farias,29.3613378,-107.7340132,8
223,chihuahua,gran_morelos,28.2506776,-106.509754,9
224,chihuahua,guachochi,26.8200412,-107.0692221,4
225,chihuahua,guadalupe,31.3899646,-106.1050652,7
226,chihuahua,guadalupe_y_calvo,26.0909838,-106.9626447,4
227,chihuahua,guazapares,27.276901,-108.2796211,3
228,chihuahua,guerrero,28.5472757,-107.4824751,9
229,chihuahua,hidalgo_del_parral,26.9317835,-105.6666166,9
230,chihuahua,huejotitan,27.0562178,-106.1790052,9
231,chihuahua,ignacio_zaragoza,29.6459134,-107.7604514,8
232,chihuahua,janos,30.8889327,-108.1924159,7
233,chihuahua,jimenez,27.140659,-104.9157029,9
234,chihuahua,juarez,31.6903638,-106.4245478,7
235,chihuahua,julimes,28.4242289,-105.4260644,9
236,chihuahua,lopez,27.0043266,-105.0348168,9
237,chihuahua,madera,29.1932973,-108.1447314,8
238,chihuahua,maguarichi,27.8569004,-107.9936421,3
239,chihuahua,manuel_benavides,29.1059412,-103.9030576,9
240,chihuahua,matachi,28.8401939,-107.7555436,8
241,chihuahua,matamoros,26.7644269,-105.5844499,9
242,chihuahua,meoqui,28.2697374,-105.4808081,9
243,chihuahua,morelos,26.6714647,-107.6770336,4
244,chihuahua,moris,28.1489782,-108.5192669,3
245,chihuahua,namiquipa,29.2424799,-107.4150212,8
246,chihuahua,nonoava,27.4753873,-106.7364341,9
247,chihuahua,nuevo_casas_grandes,30.4124523,-107.9144836,8
248,chihuahua,ocampo,28.1933653,-108.3672839,3
249,chihuahua,ojinaga,29.5458844,-104.4082908,9
250,chihuahua,praxedis_g._guerrero,31.3710969,-106.0081819,7
251,chihuahua,riva_palacio,28.5477411,-106.5067591,9
252,chihuahua,rosales,28.1885823,-105.5587625,9
253,chihuahua,rosario,27.3193894,-106.2936311,9
254,chihuahua,san_francisco_de_borja,27.9018979,-106.6843975,9
255,chihuahua,san_francisco_de_conchos,27.5871334,-105.3350084,9
256,chihuahua,san_francisco_del_oro,26.8629194,-105.8481116,9
257,chihuahua,santa_barbara,26.8015438,-105.8200578,9
258,chihuahua,satevo,27.9559567,-106.1065081,9
259,chihuahua,saucillo,28.0310409,-105.2939979,9
260,chihuahua,temosachic,28.9646234,-107.8353139,8
261,chihuahua,el_tule,27.0540443,-106.2746012,9
262,chihuahua,urique,27.2120695,-107.9140079,4
263,chihuahua,uruachi,27.8666004,-108.2153851,3
264,chihuahua,valle_de_zaragoza,27.4564552,-105.8111248,9
265,distrito_federal,azcapotzalco,19.4846606,-99.1886749,31
266,distrito_federal,coyoacan,19.3437444,-99.1561883,31
267,distrito_federal,cuajimalpa_de_morelos,19.3631419,-99.2880597,31
268,distrito_federal,gustavo_a._madero,19.4873329,-99.1236134,31
269,distrito_federal,iztacalco,19.3948036,-99.0976808,31
270,distrito_federal,iztapalapa,19.342083,-99.0532159,31
271,distrito_federal,la_magdalena_contreras,19.3149641,-99.2425886,31
272,distrito_federal,milpa_alta,19.1942041,-99.0267076,31
273,distrito_federal,alvaro_obregon,19.3605334,-99.2267067,31
274,distrito_federal,tlahuac,19.2990233,-99.0436467,31
275,distrito_federal,tlalpan,19.2790911,-99.2114234,31
276,distrito_federal,xochimilco,19.2572314,-99.1029664,31
277,distrito_federal,benito_juarez,19.3794059,-99.1591446,31
278,distrito_federal,cuauhtemoc,19.4356338,-99.1495107,31
279,distrito_federal,miguel_hidalgo,19.4306575,-99.2083953,31
280,distrito_federal,venustiano_carranza,19.4306069,-99.0949899,31
281,durango,canatlan,24.5263845,-104.7737239,10
282,durango,canelas,25.1251986,-106.5480952,5
283,durango,coneto_de_comonfort,24.9800742,-104.7707997,10
284,durango,cuencame,24.8684207,-103.6972217,11
285,durango,durango,24.0277202,-104.6531759,10
286,durango,general_simon_bolivar,24.6879934,-103.2238096,17
287,durango,gomez_palacio,25.5891476,-103.485862,11
288,durango,guadalupe_victoria,24.4432479,-104.1175578,10
289,durango,guanacevi,25.9316354,-105.9546744,5
290,durango,hidalgo,26.2476457,-104.9151732,11
291,durango,inde,25.9124311,-105.2225947,11
292,durango,lerdo,25.5447247,-103.5263398,11
293,durango,mapimi,25.833708,-103.8487392,11
294,durango,mezquital,23.4739019,-104.3940504,10
295,durango,nazas,25.2233099,-104.1132013,11
