project_name,gen_tech,balancing_area,full_load_heat_rate_gj/mw,full_load_heat_rate,connect_cost_per_mw,scheduled_outage_rate,forced_outage_rate,capacity_limit_mw,start_year,capacity_mw,dbid,being_built,fuel_code,fuel_oil,load_zone,variables,capacity_factor
la_laguna_u1_tg,gas_turbine_natural_gas,05-norte,19.5,18.48341232,0,9.22,5.5,14,,13.65,92,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975
la_laguna_u2_tg,gas_turbine_natural_gas,05-norte,19.5,18.48341232,0,9.22,5.5,14,,13.65,93,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975
la_laguna_u3_tg,gas_turbine_natural_gas,05-norte,19.5,18.48341232,0,9.22,5.5,14,,13.65,94,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975
la_laguna_u4_tg,gas_turbine_natural_gas,05-norte,19.5,18.48341232,0,9.22,5.5,14,,13.65,95,operational,zzon_nort,natural_gas,11-laguna,3.19,0.975
lerdo_u1,thermal_fuel_oil,05-norte,10.6,10.04739336,0,11.44,7.1,160,,149.76,96,operational,c_n_gpal,fuel_oil,11-laguna,3.13,0.936
lerdo_u2,thermal_fuel_oil,05-norte,10.6,10.04739336,0,11.44,7.1,160,,149.76,97,operational,c_n_gpal,fuel_oil,11-laguna,3.13,0.936
norte_ii,combined_cycle_natural_gas,05-norte,7,6.63507109,0,6.96,7.7,433,,420.01,98,operational,zzon_nort,natural_gas,09-chihuahua,2.73,0.97
norte,combined_cycle_natural_gas,05-norte,7.3,6.91943128,0,6.96,7.7,450,,436.95,99,operational,zzon_nort,natural_gas,10-durango,2.72,0.971
parque_u2,gas_turbine_diesel,05-norte,26.9,25.49763033,0,9.22,5.5,18,,17.55,100,operational,d_naciona,diesel,07-juarez,3.19,0.975
parque_u3,gas_turbine_diesel,05-norte,26.9,25.49763033,0,9.22,5.5,13,,12.68,101,operational,d_naciona,diesel,07-juarez,3.19,0.975384615
parque_u4,gas_turbine_diesel,05-norte,9.6,9.099526066,0,9.22,5.5,28,,27.3,102,operational,d_naciona,diesel,07-juarez,3.19,0.975
samalayuca_ii,combined_cycle_natural_gas,05-norte,7.9,7.488151659,0,6.96,7.7,521.76,,507.67248,103,operational,zzon_nort,natural_gas,07-juarez,2.96,0.973
samalayuca_u1,thermal_fuel_oil,05-norte,11.5,10.90047393,0,11.44,7.1,158,,147.89,104,operational,c_n_sama,fuel_oil,07-juarez,3.13,0.936012658
samalayuca_u2,thermal_fuel_oil,05-norte,11.5,10.90047393,0,11.44,7.1,158,,147.89,105,operational,c_n_sama,fuel_oil,07-juarez,3.13,0.936012658
transalta_chihuahua_iii,combined_cycle_natural_gas,05-norte,8.6,8.151658768,0,6.96,7.7,259,,252.27,106,operational,zzon_nort,natural_gas,07-juarez,3.02,0.974015444
penitas,hydroelectric,02-oriental,0,0,0,3,1,92,,22.655,107,operational,,,38-tabasco,0,0.24625
temascal,hydroelectric,02-oriental,0,0,0,3,1,100,,24.625,108,operational,,,36-temascal,0,0.24625
culiacan,gas_turbine_diesel,04-noroeste,15.4,14.5971564,0,9.22,5.5,30,,29.25,109,operational,d_naciona,diesel,05-culiacan,3.19,0.975
villita,hydroelectric,03-occidental,0,0,0,3,1,59.4,,14.62725,110,operational,,,29-lazaro_cardenas,0,0.24625
zimapan,hydroelectric,03-occidental,0,0,0,3,1,135,,33.24375,111,operational,,,30-queretaro,0,0.24625
fuerza_y_energia_de_hermosillo,combined_cycle_natural_gas,04-noroeste,7,6.63507109,0,6.96,7.7,250,,243.5,112,operational,zzon_noro,natural_gas,01-hermosillo,3.02,0.974
guaymas_ii_u1,thermal_fuel_oil,04-noroeste,10.8,10.23696682,0,11.44,7.1,84,,78.71,113,operational,c_n_guay,fuel_oil,03-obregon,3.94,0.93702381
guaymas_ii_u2,thermal_fuel_oil,04-noroeste,10.8,10.23696682,0,11.44,7.1,84,,78.71,114,operational,c_n_guay,fuel_oil,03-obregon,3.94,0.93702381
guaymas_ii_u3,thermal_fuel_oil,04-noroeste,10.8,10.23696682,0,11.44,7.1,158,,147.89,115,operational,c_n_guay,fuel_oil,03-obregon,3.13,0.936012658
guaymas_ii_u4,thermal_fuel_oil,04-noroeste,10.8,10.23696682,0,11.44,7.1,158,,147.89,116,operational,c_n_guay,fuel_oil,03-obregon,3.13,0.936012658
hermosillo,combined_cycle_natural_gas,04-noroeste,7.3,6.91943128,0,6.96,7.7,227.022,,221.12,117,operational,zzon_noro,natural_gas,01-hermosillo,3.02,0.97400252
agua_prieta,hydroelectric,03-occidental,0,0,0,3,1,422,,104.9725,118,operational,,,23-guadalajara,0,0.24875
mazatepec,hydroelectric,02-oriental,0,0,0,3,1,90,,22.1625,119,operational,,,32-poza_rica,0,0.24625
industrial_caborca_u1,gas_turbine_diesel,04-noroeste,20.7,19.62085308,0,9.22,5.5,12,,11.7,120,operational,d_naciona,diesel,01-hermosillo,3.19,0.975
industrial_caborca_u2,gas_turbine_diesel,04-noroeste,20.7,19.62085308,0,9.22,5.5,30,,29.25,121,operational,d_naciona,diesel,01-hermosillo,3.19,0.975
mazatlan_ii_u1,thermal_fuel_oil,04-noroeste,10.5,9.952606635,0,11.44,7.1,158,,147.89,122,operational,c_n_maza,fuel_oil,06-mazatlan,3.13,0.936012658
mazatlan_ii_u2,thermal_fuel_oil,04-noroeste,10.5,9.952606635,0,11.44,7.1,158,,147.89,123,operational,c_n_maza,fuel_oil,06-mazatlan,3.13,0.936012658
mazatlan_ii_u3,thermal_fuel_oil,04-noroeste,10.5,9.952606635,0,11.44,7.1,300,,285.9,124,operational,c_n_maza,fuel_oil,06-mazatlan,2.2,0.953
el_novillo,hydroelectric,04-noroeste,0,0,0,3,1,9.6,,2.364,125,operational,,,01-hermosillo,0,0.24625
naco_nogales,combined_cycle_natural_gas,04-noroeste,7.1,6.72985782,0,6.96,7.7,258,,251.29,126,operational,zzon_noro,natural_gas,02-cananea,3.02,0.973992248
necaxa,hydroelectric,02-oriental,0,0,0,3,1,19.2,,4.728,127,operational,,,32-poza_rica,0,0.24625
puerto_libertad_u1,thermal_fuel_oil,04-noroeste,10.4,9.857819905,0,11.44,7.1,158,,147.89,128,operational,c_n_plibe,fuel_oil,01-hermosillo,3.13,0.936012658
puerto_libertad_u2,thermal_fuel_oil,04-noroeste,10.4,9.857819905,0,11.44,7.1,158,,147.89,129,operational,c_n_plibe,fuel_oil,01-hermosillo,3.13,0.936012658
puerto_libertad_u3,thermal_fuel_oil,04-noroeste,10.4,9.857819905,0,11.44,7.1,158,,147.89,130,operational,c_n_plibe,fuel_oil,01-hermosillo,3.13,0.936012658
puerto_libertad_u4,thermal_fuel_oil,04-noroeste,10.4,9.857819905,0,11.44,7.1,158,,147.89,131,operational,c_n_plibe,fuel_oil,01-hermosillo,3.13,0.936012658
comedero,hydroelectric,04-noroeste,0,0,0,3,1,14,,3.4475,132,operational,,,05-culiacan,0,0.24625
topolobampo_ii_u1,thermal_fuel_oil,04-noroeste,10.3,9.763033175,0,11.44,7.1,160,,149.76,133,operational,c_n_topo,fuel_oil,04-los_mochis,3.13,0.936
topolobampo_ii_u2,thermal_fuel_oil,04-noroeste,10.3,9.763033175,0,11.44,7.1,160,,149.76,134,operational,c_n_topo,fuel_oil,04-los_mochis,3.13,0.936
yecora_u1,internal_combustion_fuel_oil,04-noroeste,12.2,11.56398104,0,11.23,7.4,0.25,,0.23,135,operational,c_n_guay,fuel_oil,03-obregon,3.16,0.92
yecora_u2,internal_combustion_fuel_oil,04-noroeste,12.2,11.56398104,0,11.23,7.4,0.25,,0.23,136,operational,c_n_guay,fuel_oil,03-obregon,3.16,0.92
yecora_u3,internal_combustion_fuel_oil,04-noroeste,12.2,11.56398104,0,11.23,7.4,0.6,,0.55,137,operational,c_n_guay,fuel_oil,03-obregon,3.16,0.916666667
yecora_u4,internal_combustion_fuel_oil,04-noroeste,12.2,11.56398104,0,11.23,7.4,0.7,,0.64,138,operational,c_n_guay,fuel_oil,03-obregon,3.16,0.914285714
altamira_ii,combined_cycle_natural_gas,06-noreste,7.4,7.014218009,0,6.96,7.7,495,,480.65,139,operational,gn_altam,natural_gas,19-huasteca,2.72,0.971010101
altamira_iii_y_iv,combined_cycle_natural_gas,06-noreste,7.3,6.91943128,0,6.96,7.7,1036,,1004.92,140,operational,gn_altam,natural_gas,19-huasteca,2.69,0.97
altamira_v,combined_cycle_natural_gas,06-noreste,7.4,7.014218009,0,6.96,7.7,1121,,1087.37,141,operational,gn_altam,natural_gas,19-huasteca,2.69,0.97
altamira_u3,thermal_fuel_oil,06-noreste,11.1,10.52132701,0,11.44,7.1,250,,234,142,operational,c_n_alta,fuel_oil,19-huasteca,3.13,0.936
altamira_u4,thermal_fuel_oil,06-noreste,11.1,10.52132701,0,11.44,7.1,250,,234,143,operational,c_n_alta,fuel_oil,19-huasteca,3.13,0.936
carbon_ii_u1,carboelectric_coal,06-noreste,10.2,9.668246445,0,11.71,6.4,350,,334.95,144,operational,ca_i_car2,coal,12-rio_escondido,2.46,0.957
carbon_ii_u2,carboelectric_coal,06-noreste,10.2,9.668246445,0,11.71,6.4,350,,334.95,145,operational,ca_i_car2,coal,12-rio_escondido,2.46,0.957
carbon_ii_u3,carboelectric_coal,06-noreste,10.2,9.668246445,0,11.71,6.4,350,,334.95,146,operational,ca_i_car2,coal,12-rio_escondido,2.46,0.957
carbon_ii_u4,carboelectric_coal,06-noreste,10.2,9.668246445,0,11.71,6.4,350,,334.95,147,operational,ca_i_car2,coal,12-rio_escondido,2.46,0.957
bacurato,hydroelectric,04-noroeste,0,0,0,3,1,18,,13.8294,148,operational,,,04-los_mochis,0,0.7683
humaya,hydroelectric,04-noroeste,0,0,0,3,1,1.44,,1.106352,149,operational,,,05-culiacan,0,0.7683
cupatitzio,hydroelectric,03-occidental,0,0,0,3,1,31.5,,24.20145,150,operational,,,28-carapan,0,0.7683
fundidora,gas_turbine_natural_gas,06-noreste,21.6,20.47393365,0,9.22,5.5,12,,11.7,151,operational,g_ahnrr,natural_gas,16-monterrey,3.19,0.975
huinala_ii,combined_cycle_natural_gas,06-noreste,6.6,6.255924171,0,6.96,7.7,471.18,,457.52,152,operational,g_ahnrr,natural_gas,16-monterrey,2.72,0.971008956
huinala,combined_cycle_natural_gas,06-noreste,9.8,9.289099526,0,6.96,7.7,377.66,,366.33,153,operational,g_ahnrr,natural_gas,16-monterrey,2.73,0.96999947
huinala_tg,gas_turbine_natural_gas,06-noreste,11.3,10.71090047,0,9.22,5.5,150,,148.35,154,operational,g_ahnrr,natural_gas,16-monterrey,3.2,0.989
lerma,hydroelectric,01-central,0,0,0,3,1,66,,50.7078,155,operational,,,31-central,0,0.7683
leona_u1,gas_turbine_natural_gas,06-noreste,22.2,21.04265403,0,9.22,5.5,12,,11.7,156,operational,g_ahnrr,natural_gas,16-monterrey,3.19,0.975
leona_u2,gas_turbine_natural_gas,06-noreste,22.2,21.04265403,0,9.22,5.5,12,,11.7,157,operational,g_ahnrr,natural_gas,16-monterrey,3.19,0.975
santa_rosa,hydroelectric,03-occidental,0,0,0,3,1,0.688,,0.5285904,158,operational,,,23-guadalajara,0,0.7683
monclova_u1,gas_turbine_natural_gas,06-noreste,18.7,17.72511848,0,9.22,5.5,18,,17.55,159,operational,g_ahnrr,natural_gas,12-rio_escondido,3.19,0.975
monclova_u2,gas_turbine_natural_gas,06-noreste,18.7,17.72511848,0,9.22,5.5,30,,29.25,160,operational,g_ahnrr,natural_gas,12-rio_escondido,3.19,0.975
monterrey_iii,combined_cycle_natural_gas,06-noreste,7.7,7.298578199,0,6.96,7.7,449,,435.98,161,operational,g_ahnrr,natural_gas,16-monterrey,2.72,0.971002227
rio_bravo,combined_cycle_natural_gas,06-noreste,10.5,9.952606635,0,6.96,7.7,211.123,,205.63,162,operational,g_ahnrr,natural_gas,14-reynosa,3.02,0.973981992
