project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
mazatlan_ii_u3,thermal_fuel_oil,04-noroeste,10.5,0,2.2,,7.1,300.0,,285.9,1309.0,28.477,124,operational,c_n_maza,fuel_oil,06-mazatlan
el_novillo,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,9.6,,33.2,2891.0,30.576,125,operational,,,01-hermosillo
naco_nogales,combined_cycle_natural_gas,04-noroeste,7.1,0,3.02,,7.7,258.0,,251.3,834.0,17.314,126,operational,zzon_noro,natural_gas,02-cananea
necaxa,hydroelectric,02-oriental,0.0,0,0.0,,1.0,19.2,,83.7,2891.0,30.576,127,operational,,,32-poza_rica
puerto_libertad_u1,thermal_fuel_oil,04-noroeste,10.4,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,128,operational,c_n_plibe,fuel_oil,01-hermosillo
puerto_libertad_u2,thermal_fuel_oil,04-noroeste,10.4,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,129,operational,c_n_plibe,fuel_oil,01-hermosillo
puerto_libertad_u3,thermal_fuel_oil,04-noroeste,10.4,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,130,operational,c_n_plibe,fuel_oil,01-hermosillo
puerto_libertad_u4,thermal_fuel_oil,04-noroeste,10.4,0,3.13,,7.1,158.0,,147.9,1607.0,35.183,131,operational,c_n_plibe,fuel_oil,01-hermosillo
comedero,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,14.0,,24.6,2891.0,30.576,132,operational,,,05-culiacan
topolobampo_ii_u1,thermal_fuel_oil,04-noroeste,10.3,0,3.13,,7.1,160.0,,149.8,1607.0,35.183,133,operational,c_n_topo,fuel_oil,04-los_mochis
topolobampo_ii_u2,thermal_fuel_oil,04-noroeste,10.3,0,3.13,,7.1,160.0,,149.8,1607.0,35.183,134,operational,c_n_topo,fuel_oil,04-los_mochis
yecora_u1,internal_combustion_fuel_oil,04-noroeste,12.2,0,3.16,,7.4,0.25,,0.2,2960.0,28.044,135,operational,c_n_guay,fuel_oil,03-obregon
yecora_u2,internal_combustion_fuel_oil,04-noroeste,12.2,0,3.16,,7.4,0.25,,0.2,2960.0,28.044,136,operational,c_n_guay,fuel_oil,03-obregon
yecora_u3,internal_combustion_fuel_oil,04-noroeste,12.2,0,3.16,,7.4,0.6,,0.6,2960.0,28.044,137,operational,c_n_guay,fuel_oil,03-obregon
yecora_u4,internal_combustion_fuel_oil,04-noroeste,12.2,0,3.16,,7.4,0.7,,0.6,2960.0,28.044,138,operational,c_n_guay,fuel_oil,03-obregon
altamira_ii,combined_cycle_natural_gas,06-noreste,7.4,0,2.96,,7.7,495.0,,480.7,807.0,16.98,139,operational,gn_altam,natural_gas,19-huasteca
altamira_iii_y_iv,combined_cycle_natural_gas,06-noreste,7.3,0,2.69,,7.7,1036.0,,1004.9,764.0,15.029,140,operational,gn_altam,natural_gas,19-huasteca
altamira_v,combined_cycle_natural_gas,06-noreste,7.4,0,2.69,,7.7,1121.0,,1087.4,764.0,15.029,141,operational,gn_altam,natural_gas,19-huasteca
altamira_u3,thermal_fuel_oil,06-noreste,11.1,0,3.13,,7.1,250.0,,234.0,1607.0,35.183,142,operational,c_n_alta,fuel_oil,19-huasteca
altamira_u4,thermal_fuel_oil,06-noreste,11.1,0,3.13,,7.1,250.0,,234.0,1607.0,35.183,143,operational,c_n_alta,fuel_oil,19-huasteca
carbon_ii_u1,carboelectric_coal,06-noreste,10.2,0,2.38,,6.4,350.0,,335.0,1392.0,32.883,144,operational,ca_i_car2,coal,12-rio_escondido
carbon_ii_u2,carboelectric_coal,06-noreste,10.2,0,2.38,,6.4,350.0,,335.0,1392.0,32.883,145,operational,ca_i_car2,coal,12-rio_escondido
carbon_ii_u3,carboelectric_coal,06-noreste,10.2,0,2.38,,6.4,350.0,,335.0,1392.0,32.883,146,operational,ca_i_car2,coal,12-rio_escondido
carbon_ii_u4,carboelectric_coal,06-noreste,10.2,0,2.38,,6.4,350.0,,335.0,1392.0,32.883,147,operational,ca_i_car2,coal,12-rio_escondido
bacurato,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,18.0,,22.7,2891.0,30.576,148,operational,,,04-los_mochis
humaya,hydroelectric,04-noroeste,0.0,0,0.0,,1.0,1.44,,22.2,2891.0,30.576,149,operational,,,05-culiacan
cupatitzio,hydroelectric,03-occidental,0.0,0,0.0,,1.0,31.5,,61.5,2891.0,30.576,150,operational,,,28-carapan
fundidora,gas_turbine_natural_gas,06-noreste,21.6,0,3.19,,5.5,12.0,,11.7,1059.0,28.477,151,operational,g_ahnrr,natural_gas,16-monterrey
huinala_ii,combined_cycle_natural_gas,06-noreste,6.6,0,2.73,,7.7,471.18,,457.5,765.0,15.471,152,operational,g_ahnrr,natural_gas,16-monterrey
huinala,combined_cycle_natural_gas,06-noreste,9.8,0,2.73,,7.7,377.66,,366.3,777.0,15.553,153,operational,g_ahnrr,natural_gas,16-monterrey
huinala_tg,gas_turbine_natural_gas,06-noreste,11.3,0,3.2,,5.5,150.0,,148.4,573.0,7.102,154,operational,g_ahnrr,natural_gas,16-monterrey
lerma,hydroelectric,01-central,0.0,0,0.0,,1.0,66.0,,56.9,2891.0,30.576,155,operational,,,31-central
leona_u1,gas_turbine_natural_gas,06-noreste,22.2,0,3.19,,5.5,12.0,,11.7,1059.0,28.477,156,operational,g_ahnrr,natural_gas,16-monterrey
leona_u2,gas_turbine_natural_gas,06-noreste,22.2,0,3.19,,5.5,12.0,,11.7,1059.0,28.477,157,operational,g_ahnrr,natural_gas,16-monterrey
santa_rosa,hydroelectric,03-occidental,0.0,0,0.0,,1.0,0.688,,53.8,2891.0,30.576,158,operational,,,23-guadalajara
monclova_u1,gas_turbine_natural_gas,06-noreste,18.7,0,3.19,,5.5,18.0,,17.6,1059.0,28.477,159,operational,g_ahnrr,natural_gas,12-rio_escondido
monclova_u2,gas_turbine_natural_gas,06-noreste,18.7,0,3.19,,5.5,30.0,,29.3,1059.0,28.477,160,operational,g_ahnrr,natural_gas,12-rio_escondido
monterrey_iii,combined_cycle_natural_gas,06-noreste,7.7,0,2.73,,7.7,449.0,,436.0,765.0,15.471,161,operational,g_ahnrr,natural_gas,16-monterrey
rio_bravo,combined_cycle_natural_gas,06-noreste,10.5,0,3.02,,7.7,211.123,,205.6,834.0,17.314,162,operational,g_ahnrr,natural_gas,14-reynosa
rio_bravo_tc,thermal_natural_gas,06-noreste,10.7,0,2.2,,7.1,300.0,,285.9,1309.0,28.477,163,operational,g_ahnrr,natural_gas,14-reynosa
rio_bravo_ii,combined_cycle_natural_gas,06-noreste,7.7,0,2.96,,7.7,495.0,,480.7,807.0,16.98,164,operational,g_ahnrr,natural_gas,15-matamoros
