load_area	fuel	year	fuel_cost
12-rio_escondido	fuel_oil	2019	53.10832806
12-rio_escondido	fuel_oil	2020	54.82474727
12-rio_escondido	fuel_oil	2021	56.11770636
12-rio_escondido	fuel_oil	2022	57.33330872
12-rio_escondido	fuel_oil	2023	58.55962859
12-rio_escondido	fuel_oil	2024	59.63930632
12-rio_escondido	fuel_oil	2025	60.54260786
12-rio_escondido	fuel_oil	2026	61.86515687
12-rio_escondido	fuel_oil	2027	63.09034295
12-rio_escondido	fuel_oil	2028	64.40339538
12-rio_escondido	fuel_oil	2029	65.73828499
12-rio_escondido	fuel_oil	2030	67.03764867
13-nuevo_laredo	natural_gas	2016	3.776280214
13-nuevo_laredo	natural_gas	2017	4.272728665
13-nuevo_laredo	natural_gas	2018	4.164941901
13-nuevo_laredo	natural_gas	2019	4.389884374
13-nuevo_laredo	natural_gas	2020	4.508177227
13-nuevo_laredo	natural_gas	2021	4.612538012
13-nuevo_laredo	natural_gas	2022	4.716898314
13-nuevo_laredo	natural_gas	2023	4.769078465
13-nuevo_laredo	natural_gas	2024	4.821259099
13-nuevo_laredo	natural_gas	2025	4.87343925
13-nuevo_laredo	natural_gas	2026	4.925619884
13-nuevo_laredo	natural_gas	2027	4.977800518
13-nuevo_laredo	natural_gas	2028	5.029980186
13-nuevo_laredo	natural_gas	2029	5.08216082
13-nuevo_laredo	natural_gas	2030	5.134340971
14-reynosa	natural_gas	2016	3.776280214
14-reynosa	natural_gas	2017	4.272728665
14-reynosa	natural_gas	2018	4.164941901
14-reynosa	natural_gas	2019	4.389884374
14-reynosa	natural_gas	2020	4.508177227
14-reynosa	natural_gas	2021	4.612538012
14-reynosa	natural_gas	2022	4.716898314
14-reynosa	natural_gas	2023	4.769078465
14-reynosa	natural_gas	2024	4.821259099
14-reynosa	natural_gas	2025	4.87343925
14-reynosa	natural_gas	2026	4.925619884
14-reynosa	natural_gas	2027	4.977800518
14-reynosa	natural_gas	2028	5.029980186
14-reynosa	natural_gas	2029	5.08216082
14-reynosa	natural_gas	2030	5.134340971
15-matamoros	natural_gas	2016	3.776280214
15-matamoros	natural_gas	2017	4.272728665
15-matamoros	natural_gas	2018	4.164941901
15-matamoros	natural_gas	2019	4.389884374
15-matamoros	natural_gas	2020	4.508177227
15-matamoros	natural_gas	2021	4.612538012
15-matamoros	natural_gas	2022	4.716898314
15-matamoros	natural_gas	2023	4.769078465
15-matamoros	natural_gas	2024	4.821259099
15-matamoros	natural_gas	2025	4.87343925
15-matamoros	natural_gas	2026	4.925619884
15-matamoros	natural_gas	2027	4.977800518
15-matamoros	natural_gas	2028	5.029980186
15-matamoros	natural_gas	2029	5.08216082
15-matamoros	natural_gas	2030	5.134340971
16-monterrey	natural_gas	2016	3.776280214
16-monterrey	natural_gas	2017	4.272728665
16-monterrey	natural_gas	2018	4.164941901
16-monterrey	natural_gas	2019	4.389884374
16-monterrey	natural_gas	2020	4.508177227
16-monterrey	natural_gas	2021	4.612538012
16-monterrey	natural_gas	2022	4.716898314
16-monterrey	natural_gas	2023	4.769078465
16-monterrey	natural_gas	2024	4.821259099
16-monterrey	natural_gas	2025	4.87343925
16-monterrey	natural_gas	2026	4.925619884
16-monterrey	natural_gas	2027	4.977800518
16-monterrey	natural_gas	2028	5.029980186
16-monterrey	natural_gas	2029	5.08216082
16-monterrey	natural_gas	2030	5.134340971
16-monterrey	diesel	2016	75.14576594
16-monterrey	diesel	2017	90.35904729
16-monterrey	diesel	2018	94.07090181
16-monterrey	diesel	2019	97.30933255
16-monterrey	diesel	2020	99.38284098
16-monterrey	diesel	2021	101.2292603
16-monterrey	diesel	2022	103.177233
16-monterrey	diesel	2023	105.483126
16-monterrey	diesel	2024	109.4306708
16-monterrey	diesel	2025	111.903307
16-monterrey	diesel	2026	113.3829141
16-monterrey	diesel	2027	114.7340394
