load_area	fuel	period	fuel_cost
47-ensenada	diesel	2016	76.51154122
47-ensenada	diesel	2021	103.06910340000002
47-ensenada	diesel	2026	115.4436501
48-mexicali	natural_gas	2016	4.882906265
48-mexicali	natural_gas	2021	5.725888811
48-mexicali	natural_gas	2026	6.0730657610000005
48-mexicali	diesel	2016	76.51154122
48-mexicali	diesel	2021	103.06910340000002
48-mexicali	diesel	2026	115.4436501
49-san_luis_rio_colorado	natural_gas	2016	5.147993088
49-san_luis_rio_colorado	natural_gas	2021	5.859500174
49-san_luis_rio_colorado	natural_gas	2026	6.223724664
50-villa_constitucion	natural_gas	2016	5.147993088
50-villa_constitucion	natural_gas	2021	5.859500174
50-villa_constitucion	natural_gas	2026	6.223724664
50-villa_constitucion	diesel	2016	76.51154122
50-villa_constitucion	diesel	2021	103.06910340000002
50-villa_constitucion	diesel	2026	115.4436501
50-villa_constitucion	fuel_oil	2016	37.21760555
50-villa_constitucion	fuel_oil	2021	60.36800770000001
50-villa_constitucion	fuel_oil	2026	66.15016726
51-la_paz	natural_gas	2016	5.147993088
51-la_paz	natural_gas	2021	5.859500174
51-la_paz	natural_gas	2026	6.223724664
51-la_paz	diesel	2016	76.51154122
51-la_paz	diesel	2021	103.06910340000002
51-la_paz	diesel	2026	115.4436501
51-la_paz	fuel_oil	2016	39.24278618
51-la_paz	fuel_oil	2021	62.32864617
51-la_paz	fuel_oil	2026	68.0934512
52-los_cabos	natural_gas	2016	5.147993088
52-los_cabos	natural_gas	2021	5.859500174
52-los_cabos	natural_gas	2026	6.223724664
52-los_cabos	diesel	2016	76.51154122
52-los_cabos	diesel	2021	103.06910340000002
52-los_cabos	diesel	2026	115.4436501
53-mulege	diesel	2016	76.51154122
53-mulege	diesel	2021	103.06910340000002
53-mulege	diesel	2026	115.4436501
53-mulege	fuel_oil	2016	41.26796681
53-mulege	fuel_oil	2021	64.28928464
53-mulege	fuel_oil	2026	70.03673514
