PROJECT	build_year	gen_overnight_cost	gen_fixed_om	g_variable_o_m
tuxpan_ii	2015.0	910280.0	16024.8	.
tuxpan_iii_y_iv	2015.0	910280.0	16024.8	.
tuxpan_v	2015.0	910280.0	16024.8	.
cancun_tg1	2015.0	1085000.0	20058.0	.
cancun_tg2	2015.0	1085000.0	20058.0	.
cancun_tg3	2015.0	1085000.0	20058.0	.
cancun_tg5	2015.0	1085000.0	20058.0	.
chankanaab_u1	2015.0	1085000.0	20058.0	.
chankanaab_u2	2015.0	1085000.0	20058.0	.
chankanaab_u4	2015.0	1085000.0	20058.0	.
ciudad_del_carmen_u1	2015.0	1085000.0	20058.0	.
ciudad_del_carmen_u2	2015.0	1085000.0	20058.0	.
ciudad_del_carmen_u3	2015.0	1085000.0	20058.0	.
holbox	2015.0	3167700.0	53203.8	.
lerma_u2	2015.0	1728420.0	32104.6	.
lerma_u3	2015.0	1728420.0	32104.6	.
lerma_u4	2015.0	1728420.0	32104.6	.
merida_ii_tg	2015.0	1085000.0	20058.0	.
merida_ii_u1_tc	2015.0	1728420.0	32104.6	.
merida_ii_u2_tc	2015.0	1728420.0	32104.6	.
merida_iii	2015.0	910280.0	16024.8	.
nachi_-_cocom_tg	2015.0	1085000.0	20058.0	.
nizuc_u1	2015.0	1085000.0	20058.0	.
nizuc_u2	2015.0	1085000.0	20058.0	.
transalta_campeche	2015.0	910280.0	16024.8	.
valladolid	2015.0	910280.0	16024.8	.
valladolid_u1_tc	2015.0	1728420.0	32104.6	.
valladolid_u2_tc	2015.0	1728420.0	32104.6	.
valladolid_iii	2015.0	910280.0	16024.8	.
xul_-_ha_cfe_18000	2015.0	1085000.0	20058.0	.
xul_-_ha_u1_tg	2015.0	1085000.0	20058.0	.
xul_-_ha_u2_tg	2015.0	1085000.0	20058.0	.
yuumiliik	2015.0	2016000.0	24963.0	.
agnico_eagle_mexico	2015.0	3150526.0	28000.0	.
agribrands_purina_mexico	2015.0	3182481.0	44702.0	.
agroenergia	2015.0	1860700.0	37694.0	.
alimentos_kowi	2015.0	3150526.0	28000.0	.
almidones_mexicanos	2015.0	622320.0	7634.45	.
altos_hornos_de_mexico	2015.0	910280.0	16024.8	.
atlatec	2015.0	2359223.0	35558.7	.
autoabastecimiento_renovable	2015.0	2353000.0	19000.0	.
avomex_internacional	2015.0	3150526.0	28000.0	.
bii_nee_stipa_energia_eolica	2015.0	2016000.0	24963.0	.
bio_pappel_printing	2015.0	622320.0	7634.45	.
bio_pappel	2015.0	622320.0	7634.45	.
bioenergia_de_nuevo_leon	2015.0	2359223.0	35558.7	.
bsm_energia_de_veracruz	2015.0	2341500.0	44300.0	.
cartones_ponderosa	2015.0	3167700.0	53203.8	.
ce_g_sanborns	2015.0	1009728.5	17427.4	.
celulosa_de_fibras_mexicanas	2015.0	910280.0	16024.8	.
cobielec	2015.0	3182481.0	44702.0	.
cogcoracion_de_energia_limpia_de_cosoleacaque	2015.0	1009728.5	17427.4	.
compania_cervecera_de_coahuila	2015.0	1728420.0	32104.6	.
tamazulapan	2015.0	1910425.0	24967.8	.
compania_eolica_de_tamaulipas	2015.0	2016000.0	24963.0	.
cooperativa_la_cruz_azul	2015.0	2359223.0	35558.7	.
coppel	2015.0	2353000.0	19000.0	.
csi_en_saltillo	2015.0	622320.0	7634.45	.
deacero_power	2015.0	910280.0	16024.8	.
desarrollos_eolicos_mexicanos_de_oaxaca_1	2015.0	2016000.0	24963.0	.
desarrolloseolicosmexicanos2_piedralarga	2015.0	2016000.0	24963.0	.
destileria_del_golfo	2015.0	2341500.0	44300.0	.
dominica_energia_limpia	2015.0	2016000.0	24963.0	.
draexlmaier_components_automotive_de_mexico	2015.0	3150526.0	28000.0	.
el_palacio_de_hierro_guadalajara	2015.0	3150526.0	28000.0	.
el_palacio_de_hierro_monterrey	2015.0	622320.0	7634.45	.
electrica_del_valle_de_mexico	2015.0	2016000.0	24963.0	.
schpoina	2015.0	1910425.0	24967.8	.
ener-g_planta_celaya	2015.0	2359223.0	35558.7	.
energia_azteca_viii	2015.0	910280.0	16024.8	.
energia_azteca_x	2015.0	910280.0	16024.8	.
energia_chihuahua	2015.0	910280.0	16024.8	.
jumatan	2015.0	1910425.0	24967.8	.
energia_lactea	2015.0	2359223.0	35558.7	.
energia_mk_kf	2015.0	1009728.5	17427.4	.
energia_renovable_de_cuautla	2015.0	1009728.5	17427.4	.
energia_san_luis_de_la_paz	2015.0	910280.0	16024.8	.
energia_san_pedro	2015.0	1009728.5	17427.4	.
energia_sonora_ppe	2015.0	2016000.0	24963.0	.
energreen_energia_pi	2015.0	2359223.0	35558.7	.
enertek	2015.0	622320.0	7634.45	.
ensambles_hyson	2015.0	3150526.0	28000.0	.
eoliatec_del_istmo	2015.0	2016000.0	24963.0	.
eoliatec_del_pacifico	2015.0	2016000.0	24963.0	.
eolica_de_arriaga	2015.0	2016000.0	24963.0	.
eolica_el_retiro	2015.0	2016000.0	24963.0	.
eolica_los_altos	2015.0	2016000.0	24963.0	.
eolica_santa_catarina	2015.0	2016000.0	24963.0	.
eolica_zopiloapan	2015.0	2016000.0	24963.0	.
eurus	2015.0	2016000.0	24963.0	.
fermicaise	2015.0	3182481.0	44702.0	.
fersinsa_gb	2015.0	622320.0	7634.45	.
ford_motor_company	2015.0	3150526.0	28000.0	.
fuerza_eolica_del_istmo	2015.0	2016000.0	24963.0	.
fuerza_y_energia_bii_hioxo	2015.0	2016000.0	24963.0	.
fuerza_y_energia_de_naco-nogales	2015.0	910280.0	16024.8	.
fuerza_y_energia_de_norte_durango	2015.0	910280.0	16024.8	.
fundilag_hierro	2015.0	3150526.0	28000.0	.
ganaderia_integral_sk	2015.0	3150526.0	28000.0	.
ganaderia_integral_vizur	2015.0	3150526.0	28000.0	.
gcoradora_la_paz	2015.0	3150526.0	28000.0	.
gcoradora_petrocel	2015.0	1728420.0	32104.6	.
gcoradora_pondercel	2015.0	1728420.0	32104.6	.
gcoradora_solar_apaseo	2015.0	2353000.0	19000.0	.
geotermica_para_el_desarrollo	2015.0	2038100.0	87118.0	.
portezuelo_ii	2015.0	1910425.0	24967.8	.
gollek_interamerica	2015.0	3150526.0	28000.0	.
goplas	2015.0	3182481.0	44702.0	.
graftech_mexico	2015.0	3150526.0	28000.0	.
gresaise	2015.0	622320.0	7634.45	.
grupo_celanese_complejo_ocot	2015.0	1728420.0	32104.6	.
gs_energia	2015.0	622320.0	7634.45	.
harinera_la_espiga	2015.0	3182481.0	44702.0	.
portezuelo_i	2015.0	1910425.0	24967.8	.
ixtaczoquitlan	2015.0	1910425.0	24967.8	.
texolo	2015.0	1910425.0	24967.8	.
hidrorizaba	2015.0	1910425.0	24967.8	.
electroquimica	2015.0	1910425.0	24967.8	.
huixtla_energia	2015.0	2341500.0	44300.0	.
iberdrola_energia_la_laguna	2015.0	910280.0	16024.8	.
iberdrola_energia_monterrey	2015.0	910280.0	16024.8	.
iberdrola_energia_tamazunchale_v	2015.0	910280.0	16024.8	.
impulsora_mexicana_de_energia	2015.0	3150526.0	28000.0	.
industrial_papelera_mexicana	2015.0	622320.0	7634.45	.
industrias_derivadas_del_etileno	2015.0	1860700.0	37694.0	.
industrias_quimicas_falcon_de_mexico	2015.0	1085000.0	20058.0	.
ingenio_la_gloria	2015.0	2341500.0	44254.0	.
ingenio_san_miguel_del_naranjo	2015.0	2341500.0	44300.0	.
ingenio_san_nicolas	2015.0	2341500.0	44300.0	.
innophos_fosfatados_de_mexico_aut	2015.0	3182481.0	44702.0	.
instituto_de_investigaciones_electricas	2015.0	2016000.0	24963.0	.
