PROJECT	build_year	gen_predetermined_cap
servicios_comerciales_de_energia	2015.0	30.0
silices_de_veracruz	2015.0	7.3
sky_eps_supply_sm	2015.0	20.4
sky_eps_supply	2015.0	27.2
sociedad_autoabastecedora_de_energia_verde_de	2015.0	2.62
sony_nuevo_laredo	2015.0	2.055
stipa_nayaa	2015.0	74.0
styrolution_mexicana	2015.0	10.6
tablex_miller	2015.0	1.26
tai_durango_uno	2015.0	15.63
tala_electric	2015.0	25.0
termoelectrica_del_golfo	2015.0	290.0
termoelectrica_penoles	2015.0	290.0
tlalnepantla_cogcoracion	2015.0	28.0
tmq_gcoracion_energia_renovable	2015.0	1.373
tractebel_energia_de_monterrey	2015.0	284.016
tractebel_energia_de_panuco	2015.0	27.53
transformadora_de_energia_electrica_de_juarez	2015.0	6.4
urrea_herramientas_profesionales	2015.0	1.0
ventika_ii	2015.0	126.0
ventika	2015.0	126.0
zacapu_power	2015.0	10.0
micos	2015.0	0.688
itzicuaro	2015.0	0.624
energia_ep	2015.0	0.412
