GENERATIONS_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	proj_variable_o_m	gen_capacity_limit_mw	gen_energy_source	gen_variable_om	gen_min_build_capacity	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_max_age	gen_unit_size	proj_ccs_capture_efficiency	proj_ccs_energy_load	gen_storage_efficiency	proj_store_to_release_ratio	gen_is_variable	gen_is_baseload	gen_is_cogen
ccc_cfe_02	combined_cycle_natural_gas	31-central	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_03	combined_cycle_natural_gas	32-poza_rica	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_04	combined_cycle_natural_gas	03-obregon	99048.565	5.749790332	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_05	combined_cycle_natural_gas	31-central	99048.565	5.48026891	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_06	combined_cycle_natural_gas	31-central	99048.565	6.558354598	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_07	combined_cycle_natural_gas	03-obregon	99048.565	5.659949858	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_09	combined_cycle_natural_gas	51-la_paz	99048.565	6.468514123	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_10	combined_cycle_natural_gas	25-san_luis_potosi	99048.565	5.92947128	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_12	combined_cycle_natural_gas	49-san_luis_rio_colorado	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_14	combined_cycle_natural_gas	11-laguna	99048.565	5.839630806	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_17	combined_cycle_natural_gas	42-merida	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_19	combined_cycle_natural_gas	23-guadalajara	99048.565	5.92947128	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_20	combined_cycle_natural_gas	06-mazatlan	99048.565	5.92947128	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_cfe_21	combined_cycle_natural_gas	26-salamanca	99048.565	5.92947128	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_gen_01	combined_cycle_natural_gas	23-guadalajara	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
