,month,day,hour,central,oriental,occidental,norte,noreste,peninsular,noroeste,baja_california,baja_california_sur,sin,sen
2867,4,29,13,5660.314,4650.779152,6773.791,2463.633,4766.528,1048.121,1942.788,1101.174,217.394,27305.954152,28624.522151999998
2868,4,29,14,5653.208,4719.194616,6853.156,2470.65,4818.805,1057.925,1981.765,1128.022,219.011,27554.703616,28901.736616
2869,4,29,15,5505.816,4783.54292,6743.762,2487.004,4791.939,1065.696,2018.206,1147.248,220.756,27395.96592,28763.96992
2870,4,29,16,5576.356,4772.515912,6837.431,2494.062,4760.13,1075.913,2059.24,1167.501,220.541,27575.647912,28963.689912
2871,4,29,17,5551.925,4823.145248,6939.421,2500.135,4761.148,1090.321,2085.778,1193.845,221.022,27751.873248,29166.740248000002
2872,4,29,18,5571.48,4836.065848,6836.516,2496.221,4705.864,1095.776,2098.062,1202.893,219.754,27639.984848,29062.631848
2873,4,29,19,5694.729,4775.897824,6687.069,2475.498,4638.221,1086.251,2066.989,1206.478,218.001,27424.654824,28849.133824
2874,4,29,20,5954.983,5045.793624,6707.405,2457.405,4753.328,1174.796,2026.362,1197.508,220.98,28120.072624,29538.560624
2875,4,29,21,6833.027,6069.117352,7309.476,2509.01,5110.581,1267.432,2013.587,1178.892,245.005,31112.230352,32536.127352
2876,4,29,22,7128.941,6229.260424,7523.723,2680.957,5359.568,1277.247,2187.534,1212.832,245.011,32387.230423999994,33845.073423999995
2877,4,29,23,6762.164,6084.786768,7601.145,2675.915,5384.934,1265.944,2279.517,1297.134,232.665,32054.405768,33584.204768
2878,4,29,24,6012.745,5667.554712,7495.84,2585.429,5286.966,1221.711,2301.767,1287.82,214.735,30572.012712,32074.567712
2879,4,30,1,5281.625,5321.991,6601.026,2488.506,5247.912,1160.442,2235.635,1223.036,211.595773,28337.137000000002,29771.768773000003
2880,4,30,2,4839.779,5076.141,6372.34,2389.102,5090.336,1095.052,2111.092,1138.445,203.364726,26973.842,28315.651726
2881,4,30,3,4650.015,4878.594,6179.331,2363.58,4947.778,1044.509,2014.861,1067.956,197.77869,26078.668,27344.40269
2882,4,30,4,4566.882,4787.792,6137.927,2327.669,4902.53,1004.263,1938.04,1016.245,195.402843,25665.102999999996,26876.750842999994
2883,4,30,5,4616.43,4759.076,6226.621,2310.104,4856.936,974.713,1873.192,992.14,191.841332,25617.072,26801.053332
2884,4,30,6,4842.221,4702.352,6219.004,2314.262,4855.267,959.249,1829.492,959.939,197.093103,25721.846999999998,26878.879102999996
2885,4,30,7,5342.825,4831.338,6303.628,2372.087,4971.588,927.886,1815.759,953.611,201.948514,26565.110999999997,27720.670513999998
2886,4,30,8,5591.607,4720.756,6706.91,2405.031,5147.706,982.313,1788.41,973.987,207.423745,27342.733,28524.143745
2887,4,30,9,5978.615,4913.11,7191.342,2526.835,5362.063,1104.15,1779.454,962.639,220.39403,28855.569,30038.60203
2888,4,30,10,6393.02,5101.813,7652.037,2644.327,5581.834,1210.666,1873.389,1041.274,236.324054,30457.086000000003,31734.684054000005
2889,4,30,11,6638.86,5214.305,7916.805,2764.824,5665.422,1267.012,1991.751,1122.409,248.546598,31458.979,32829.934598
2890,4,30,12,6785.427,5290.629,7974.834,2876.195,5739.178,1298.959,2090.516,1192.664,254.529993,32055.737999999998,33502.93199299999
2891,4,30,13,6949.115,5353.563,7915.378,2954.703,5754.448,1306.98,2175.935,1235.026,256.502764,32410.122000000003,33901.650764
2892,4,30,14,6831.804,5426.778,8246.578,2959.288,5878.555,1311.265,2234.391,1288.771,261.29093,32888.659,34438.72093
